"name","chr","description"
"REX1BD","19","required"
"CRLF1","19","cytokine"
"OSBPL7","17","oxysterol"
"TMEM98","17","transmembrane"
"YBX2","17","Y-box"
"KRT33A","17","keratin"
"MAP3K14","17","mitogen-activated"
"ABCC8","11","ATP"
"CACNG3","16","calcium"
"TMEM132A","11","transmembrane"
"AP2B1","17","adaptor"
"TAC1","7","tachykinin"
"ZNF263","16","zinc"
"CX3CL1","16","C-X3-C"
"SPATA20","17","spermatogenesis"
"CACNA1G","17","calcium"
"TNFRSF12A","16","TNF"
"DLX6","7","distal-less"
"MAP3K9","14","mitogen-activated"
"RALA","7","RAS"
"BAIAP2L1","7","BAI1"
"KDM7A","7","lysine"
"ETV1","7","ETS"
"AGK","7","acylglycerol"
"ALDH3B1","11","aldehyde"
"TTC22","1","tetratricopeptide"
"PHTF2","7","putative"
"CCL26","7","C-C"
"FARP2","2","FERM,"
"USH1C","11","USH1"
"GGCT","7","gamma-glutamylcyclotransferase"
"DBF4","7","DBF4"
"TBXA2R","19","thromboxane"
"IFRD1","7","interferon"
"LGALS14","19","galectin"
"COX10","17","COX10,"
"GTF2IRD1","7","GTF2I"
"PAF1","19","PAF1"
"VPS41","7","VPS41,"
"ARHGAP44","17","Rho"
"ELAC2","17","elaC"
"SCIN","7","scinderin"
"ARSD","X","arylsulfatase"
"PNPLA4","X","patatin"
"MYH13","17","myosin"
"ADIPOR2","12","adiponectin"
"CDKL3","5","cyclin"
"UPP2","2","uridine"
"PRSS21","16","serine"
"MARK4","19","microtubule"
"PROM1","4","prominin"
"CCDC124","19","coiled-coil"
"CEACAM21","19","carcinoembryonic"
"PAFAH1B1","17","platelet"
"NOS2","17","nitric"
"DNAH9","17","dynein"
"KIAA0100","17","KIAA0100"
"SLC13A2","17","solute"
"GAS7","17","growth"
"TRAPPC6A","19","trafficking"
"MATK","19","megakaryocyte-associated"
"CEACAM7","19","carcinoembryonic"
"CD79B","17","CD79b"
"SCN4A","17","sodium"
"ST7L","1","suppression"
"TKTL1","X","transketolase"
"PAX6","11","paired"
"RPUSD1","16","RNA"
"RHBDF1","16","rhomboid"
"LUC7L","16","LUC7"
"CACNA2D2","3","calcium"
"BAIAP3","16","BAI1"
"TSR3","16","TSR3,"
"PIGQ","16","phosphatidylinositol"
"CRAMP1","16","cramped"
"TEAD3","6","TEA"
"SELE","1","selectin"
"DNAJC11","1","DnaJ"
"FMO3","1","flavin"
"MYLIP","6","myosin"
"NOX1","X","NADPH"
"E2F2","1","E2F"
"PSMB1","6","proteasome"
"SYN1","X","synapsin"
"JARID2","6","jumonji"
"CDKL5","X","cyclin"
"CAMK1G","1","calcium/calmodulin"
"CDK11A","1","cyclin"
"NADK","1","NAD"
"TFAP2B","6","transcription"
"TFAP2D","6","transcription"
"DLEC1","3","deleted"
"CYTH3","7","cytohesin"
"ADAM22","7","ADAM"
"SYPL1","7","synaptophysin"
"CYB561","17","cytochrome"
"SPAG9","17","sperm"
"CELSR3","3","cadherin"
"AASS","7","aminoadipate-semialdehyde"
"PLEKHG6","12","pleckstrin"
"SS18L2","3","SS18"
"MPND","19","MPN"
"MGST1","12","microsomal"
"CRY1","12","cryptochrome"
"PGLYRP1","19","peptidoglycan"
"NFIX","19","nuclear"
"ST3GAL1","8","ST3"
"MMP25","16","matrix"
"IL32","16","interleukin"
"PKD1","16","polycystin"
"MAPK8IP2","22","mitogen-activated"
"MED24","17","mediator"
"RHOBTB2","8","Rho"
"HEATR5B","2","HEAT"
"SEC62","3","SEC62"
"RPS20","8","ribosomal"
"CSDE1","1","cold"
"UBE3C","7","ubiquitin"
"REV3L","6","REV3"
"TENM1","X","teneurin"
"PAX7","1","paired"
"MASP2","1","mannan"
"IYD","6","iodotyrosine"
"FAM76A","1","family"
"TRAF3IP3","1","TRAF3"
"POMT2","14","protein"
"VTA1","6","vesicle"
"MLXIPL","7","MLX"
"BAZ1B","7","bromodomain"
"RANBP9","6","RAN"
"ETV7","6","ETS"
"SPRTN","1","SprT-like"
"METTL13","1","methyltransferase"
"DYRK4","12","dual"
"ZNF207","17","zinc"
"UQCRC1","3","ubiquinol-cytochrome"
"STARD3NL","7","STARD3"
"CD9","12","CD9"
"HHATL","3","hedgehog"
"NCAPD2","12","non-SMC"
"IFFO1","12","intermediate"
"GIPR","19","gastric"
"PHF7","3","PHD"
"SEMA3G","3","semaphorin"
"NISCH","3","nischarin"
"STAB1","3","stabilin"
"FUZ","19","fuzzy"
"SLC6A13","12","solute"
"IDS","X","iduronate"
"PRSS3","9","serine"
"ZNF200","16","zinc"
"CD4","12","CD4"
"LRRC23","12","leucine"
"BTK","X","Bruton"
"HFE","6","homeostatic"
"SCMH1","1","Scm"
"FYN","6","FYN"
"HIVEP2","6","human"
"FMO1","1","flavin"
"ELOA","1","elongin"
"LYPLA2","1","lysophospholipase"
"CLCN6","1","chloride"
"MRC2","17","mannose"
"NME1-NME2","17","NME1-NME2"
"SLC6A7","5","solute"
"TSPAN9","12","tetraspanin"
"BTBD7","14","BTB"
"APBA3","19","amyloid"
"MKS1","17","Meckel"
"ABHD5","3","abhydrolase"
"ANOS1","X","anosmin"
"AKAP8L","19","A-kinase"
"MBTD1","17","mbt"
"UTP18","17","UTP18,"
"RNF216","7","ring"
"TTC19","17","tetratricopeptide"
"PTBP1","19","polypyrimidine"
"DPF1","19","double"
"SYT7","11","synaptotagmin"
"LARS2","3","leucyl-tRNA"
"PIK3C2A","11","phosphatidylinositol-4-phosphate"
"PLAUR","19","plasminogen"
"ANLN","7","anillin"
"WIZ","19","widely"
"RABGAP1","9","RAB"
"DCN","12","decorin"
"QPCTL","19","glutaminyl-peptide"
"PPP5C","19","protein"
"CEP68","2","centrosomal"
"MAP4K3","2","mitogen-activated"
"ZBTB32","19","zinc"
"TYROBP","19","TYRO"
"TMEM159","16","transmembrane"
"GABRA3","X","gamma-aminobutyric"
"BRCA1","17","BRCA1,"
"ERCC1","19","ERCC"
"CD22","19","CD22"
"SEMA3B","3","semaphorin"
"MBTPS2","X","membrane"
"PRICKLE3","X","prickle"
"LTF","3","lactotransferrin"
"EXTL3","8","exostosin"
"NR1H4","12","nuclear"
"ELOVL5","6","ELOVL"
"ALOX5","10","arachidonate"
"KDM5D","Y","lysine"
"CALCOCO1","12","calcium"
"UBR7","14","ubiquitin"
"MAP4K5","14","mitogen-activated"
"EHD3","2","EH"
"PSMC4","19","proteasome"
"MAN2B2","4","mannosidase"
"SLC7A14","3","solute"
"CLDN11","3","claudin"
"SLC25A39","17","solute"
"MVP","16","major"
"NUB1","7","negative"
"PGM3","6","phosphoglucomutase"
"RWDD2A","6","RWD"
"CLK1","2","CDC"
"POLR3B","12","RNA"
"ANGEL1","14","angel"
"RNF14","5","ring"
"DNASE1L1","X","deoxyribonuclease"
"DDX11","12","DEAD/H-box"
"HEBP1","12","heme"
"GPRC5A","12","G"
"MAMLD1","X","mastermind"
"CD6","11","CD6"
"TACC3","4","transforming"
"UFL1","6","UFM1"
"POLA2","11","DNA"
"ZC3H3","8","zinc"
"CAPN1","11","calpain"
"ACPP","3","acid"
"MDH1","2","malate"
"SLC30A9","4","solute"
"MTMR11","1","myotubularin"
"COX15","10","COX15,"
"CCDC88C","14","coiled-coil"
"YAF2","12","YY1"
"ZMYND11","10","zinc"
"WAS","X","Wiskott-Aldrich"
"DPEP1","16","dipeptidase"
"BID","22","BH3"
"MATR3","5","matrin"
"NPC1L1","7","NPC1"
"XYLT2","17","xylosyltransferase"
"RGPD5","2","RANBP2-like"
"STMN4","8","stathmin"
"NUDCD3","7","NudC"
"ISL1","5","ISL"
"CHDH","3","choline"
"IL20RA","6","interleukin"
"CLCA1","1","chloride"
"CLCA4","1","chloride"
"GLT8D1","3","glycosyltransferase"
"ATP2C1","3","ATPase"
"IGF1","12","insulin"
"SLC38A5","X","solute"
"RALBP1","18","ralA"
"RUFY3","4","RUN"
"CNTN1","12","contactin"
"SLC11A1","2","solute"
"WWTR1","3","WW"
"AGPS","2","alkylglycerone"
"CXorf56","X","chromosome"
"ATP1A2","1","ATPase"
"TTC27","2","tetratricopeptide"
"ZNF582","19","zinc"
"VSIG2","11","V-set"
"PHLDB1","11","pleckstrin"
"MARCO","2","macrophage"
"CYP24A1","20","cytochrome"
"PRDM11","11","PR/SET"
"SYT13","11","synaptotagmin"
"SNAI2","8","snail"
"CD74","5","CD74"
"HGF","7","hepatocyte"
"ZRANB1","10","zinc"
"NCDN","1","neurochondrin"
"ADGRA2","8","adhesion"
"ZFP64","20","ZFP64"
"MNAT1","14","MNAT1,"
"SAMD4A","14","sterile"
"RUNX3","1","runt"
"MRE11","11","MRE11"
"PLEKHB1","11","pleckstrin"
"SERPINB1","6","serpin"
"CYP3A43","7","cytochrome"
"SLC7A9","19","solute"
"SPAST","2","spastin"
"NRXN3","14","neurexin"
"OSBPL5","11","oxysterol"
"AQR","15","aquarius"
"CPS1","2","carbamoyl-phosphate"
"C8B","1","complement"
"FHL1","X","four"
"RTF2","20","replication"
"GABRA1","5","gamma-aminobutyric"
"NLRP2","19","NLR"
"SLC45A4","8","solute"
"RNF10","12","ring"
"ZNF839","14","zinc"
"ZDHHC6","10","zinc"
"GRAMD1B","11","GRAM"
"RNH1","11","ribonuclease/angiogenin"
"NDUFS1","2","NADH:ubiquinone"
"RB1CC1","8","RB1"
"ERP44","9","endoplasmic"
"ALAS1","3","5'-aminolevulinate"
"BIRC3","11","baculoviral"
"AKAP11","13","A-kinase"
"GLRX2","1","glutaredoxin"
"SNAPC1","14","small"
"DERA","12","deoxyribose-phosphate"
"STRAP","12","serine/threonine"
"ABCC2","10","ATP"
"DEF6","6","DEF6,"
"PLEKHO1","1","pleckstrin"
"GCLM","1","glutamate-cysteine"
"UBR2","6","ubiquitin"
"EHD2","19","EH"
"DEPDC1","1","DEP"
"CCDC28A","6","coiled-coil"
"RRAGD","6","Ras"
"HSF2","6","heat"
"PHF20","20","PHD"
"HSD17B6","12","hydroxysteroid"
"NR1H3","11","nuclear"
"TYMP","22","thymidine"
"NCAPH2","22","non-SMC"
"TOMM34","20","translocase"
"SEC63","6","SEC63"
"KPNA6","1","karyopherin"
"VIM","10","vimentin"
"FAS","10","Fas"
"RNASET2","6","ribonuclease"
"CD44","11","CD44"
"KCNG1","20","potassium"
"AGPAT4","6","1-acylglycerol-3-phosphate"
"SLAMF7","1","SLAM"
"BTN3A1","6","butyrophilin"
"MIPEP","13","mitochondrial"
"PRKCH","14","protein"
"INSRR","1","insulin"
"IFNGR1","6","interferon"
"B4GALT7","5","beta-1,4-galactosyltransferase"
"SH2D2A","1","SH2"
"VRK2","2","vaccinia"
"TNFRSF1B","1","TNF"
"VEZT","12","vezatin,"
"POU2F2","19","POU"
"BRD9","5","bromodomain"
"SNX1","15","sorting"
"TBPL1","6","TATA-box"
"ARNTL2","12","aryl"
"BCLAF1","6","BCL2"
"SLC39A9","14","solute"
"ANK1","8","ankyrin"
"IBSP","4","integrin"
"TFB1M","6","transcription"
"RABEP1","17","rabaptin,"
"HMGB3","X","high"
"NUP160","11","nucleoporin"
"BAK1","6","BCL2"
"MUSK","9","muscle"
"IKZF2","2","IKAROS"
"GRN","17","granulin"
"FAM13B","5","family"
"ARHGAP31","3","Rho"
"CENPQ","6","centromere"
"SARS","1","seryl-tRNA"
"RANBP3","19","RAN"
"ARID4A","14","AT-rich"
"EIPR1","2","EARP"
"PNPLA6","19","patatin"
"IFT88","13","intraflagellar"
"ALG1","16","ALG1,"
"ZCCHC8","12","zinc"
"ABCF2","7","ATP"
"CHPF2","7","chondroitin"
"LRRC7","1","leucine"
"FUT8","14","fucosyltransferase"
"UBA6","4","ubiquitin"
"GAB2","11","GRB2"
"ATP6V0A1","17","ATPase"
"PIAS1","15","protein"
"SLC4A7","3","solute"
"APBA2","15","amyloid"
"MAP2K3","17","mitogen-activated"
"EFCAB1","8","EF-hand"
"TMSB10","2","thymosin"
"ASTE1","3","asteroid"
"RNF19A","8","ring"
"PEX3","6","peroxisomal"
"GABARAPL2","16","GABA"
"MYOC","1","myocilin"
"SH3YL1","2","SH3"
"FAM136A","2","family"
"VCL","10","vinculin"
"DEPDC1B","5","DEP"
"DAPK2","15","death"
"NSMAF","8","neutral"
"ADSS","1","adenylosuccinate"
"STAP1","4","signal"
"TIMP2","17","TIMP"
"RFC1","4","replication"
"TBC1D23","3","TBC1"
"CUL3","2","cullin"
"MYOM2","8","myomesin"
"OTC","X","ornithine"
"CYP46A1","14","cytochrome"
"AC118549.1","1","zinc"
"SLC18A1","8","solute"
"USP2","11","ubiquitin"
"CASR","3","calcium"
"TUBG2","17","tubulin"
"RPL26L1","5","ribosomal"
"FLT4","5","fms"
"NSUN2","5","NOP2/Sun"
"FBXO42","1","F-box"
"MFAP3","5","microfibril"
"MRI1","19","methylthioribose-1-phosphate"
"METTL1","12","methyltransferase"
"HOXC8","12","homeobox"
"AGA","4","aspartylglucosaminidase"
"PI4K2B","4","phosphatidylinositol"
"BOD1L1","4","biorientation"
"MAT2B","5","methionine"
"TLL1","4","tolloid"
"EDC4","16","enhancer"
"TRIO","5","trio"
"VCAN","5","versican"
"CLEC16A","16","C-type"
"MSR1","8","macrophage"
"CDH1","16","cadherin"
"MTREX","5","Mtr4"
"DNAH5","5","dynein"
"ZFYVE16","5","zinc"
"RIPOR1","16","RHO"
"C6","5","complement"
"RAI14","5","retinoic"
"SOX30","5","SRY-box"
"PNKP","19","polynucleotide"
"BEST2","19","bestrophin"
"PHLPP2","16","PH"
"SPDL1","5","spindle"
"STAU2","8","staufen"
"PQLC2","1","PQ"
"CTNS","17","cystinosin,"
"RTN4R","22","reticulon"
"PHF23","17","PHD"
"CDH10","5","cadherin"
"INPP4A","2","inositol"
"RAB27B","18","RAB27B,"
"PSMA4","15","proteasome"
"MYO16","13","myosin"
"LSG1","3","large"
"PARP3","3","poly(ADP-ribose)"
"TNC","9","tenascin"
"THAP3","1","THAP"
"RIPOR3","20","RIPOR"
"TDP1","14","tyrosyl-DNA"
"AIFM2","10","apoptosis"
"C2orf83","2","chromosome"
"SPATA7","14","spermatogenesis"
"MED17","11","mediator"
"RETSAT","2","retinol"
"CAPG","2","capping"
"AP2S1","19","adaptor"
"USH2A","1","usherin"
"ZPBP","7","zona"
"TG","8","thyroglobulin"
"ADAM28","8","ADAM"
"BARX2","11","BARX"
"DCUN1D1","3","defective"
"JADE2","5","jade"
"ZIC2","13","Zic"
"LCP2","5","lymphocyte"
"TRIT1","1","tRNA"
"ADRB1","10","adrenoceptor"
"GUCA2B","1","guanylate"
"CUL7","6","cullin"
"CTNNA1","5","catenin"
"PHKA2","X","phosphorylase"
"CNTLN","9","centlein"
"EPHA3","3","EPH"
"HSPA5","9","heat"
"DSG2","18","desmoglein"
"GEMIN8","X","gem"
"OFD1","X","OFD1,"
"GPM6B","X","glycoprotein"
"MAGEC2","X","MAGE"
"PREX2","8","phosphatidylinositol-3,4,5-trisphosphate"
"WDR37","10","WD"
"YTHDC2","5","YTH"
"CTPS2","X","CTP"
"ATP6V1H","8","ATPase"
"POLR2B","4","RNA"
"FAM214A","15","family"
"ARAP2","4","ArfGAP"
"TPR","1","translocated"
"CP","3","ceruloplasmin"
"KIAA0556","16","KIAA0556"
"DTNBP1","6","dystrobrevin"
"XK","X","X-linked"
"ANO2","12","anoctamin"
"C12orf4","12","chromosome"
"SCML1","X","Scm"
"WWC3","X","WWC"
"ARHGAP6","X","Rho"
"FAM184B","4","family"
"MAP4","3","microtubule"
"GOPC","6","golgi"
"ROS1","6","ROS"
"USP28","11","ubiquitin"
"HDAC9","7","histone"
"TSPAN17","5","tetraspanin"
"NOP16","5","NOP16"
"CC2D2A","4","coiled-coil"
"RRM2B","8","ribonucleotide"
"ZNF800","7","zinc"
"TNFRSF17","16","TNF"
"SNX29","16","sorting"
"LMO3","12","LIM"
"MRPS10","6","mitochondrial"
"GUCA1A","6","guanylate"
"RSF1","11","remodeling"
"VPS13D","1","vacuolar"
"CELF2","10","CUGBP"
"FAM120A","9","family"
"R3HDM1","2","R3H"
"COL9A2","1","collagen"
"KITLG","12","KIT"
"ERCC8","5","ERCC"
"ADAMTS6","5","ADAM"
"H6PD","1","hexose-6-phosphate"
"VAMP3","1","vesicle"
"PER3","1","period"
"UTS2","1","urotensin"
"TNFRSF9","1","TNF"
"EPN3","17","epsin"
"LTBP1","2","latent"
"RCN1","11","reticulocalbin"
"ELN","7","elastin"
"RFC2","7","replication"
"ARID1B","6","AT-rich"
"CLPTM1L","5","CLPTM1"
"NEDD4L","18","neural"
"FOXP3","X","forkhead"
"PPP1R3F","X","protein"
"HEXB","5","hexosaminidase"
"PTCD2","5","pentatricopeptide"
"NEXMIF","X","neurite"
"JKAMP","14","JNK1/MAPK8"
"DKK3","11","dickkopf"
"ARHGEF5","7","Rho"
"NFE2L3","7","nuclear"
"MCUR1","6","mitochondrial"
"LIMA1","12","LIM"
"LETMD1","12","LETM1"
"SLC4A8","12","solute"
"LAMC3","9","laminin"
"PTGER3","1","prostaglandin"
"TNIP3","4","TNFAIP3"
"MAPK9","5","mitogen-activated"
"COL23A1","5","collagen"
"BCAR1","16","BCAR1,"
"FAM160A2","11","family"
"HERPUD1","16","homocysteine"
"HOMER3","19","homer"
"RAD51","15","RAD51"
"POLQ","3","DNA"
"PIK3CB","3","phosphatidylinositol-4,5-bisphosphate"
"CYBA","16","cytochrome"
"THOC3","5","THO"
"HEBP2","6","heme"
"MPHOSPH9","12","M-phase"
"PLEKHA5","12","pleckstrin"
"PRSS8","16","serine"
"SIKE1","1","suppressor"
"RRP12","10","ribosomal"
"FNIP2","4","folliculin"
"MSMO1","4","methylsterol"
"TTC17","11","tetratricopeptide"
"ALX4","11","ALX"
"FSTL4","5","follistatin"
"FOXN3","14","forkhead"
"METTL24","6","methyltransferase"
"AKR7A2","1","aldo-keto"
"MRTO4","1","MRT4"
"NNAT","20","neuronatin"
"USE1","19","unconventional"
"MCF2L2","3","MCF.2"
"NRIP2","12","nuclear"
"LAMA3","18","laminin"
"AP5M1","14","adaptor"
"ANAPC4","4","anaphase"
"KCNQ1","11","potassium"
"TRAPPC3","1","trafficking"
"THRAP3","1","thyroid"
"PHPT1","9","phosphohistidine"
"ENTPD2","9","ectonucleoside"
"LY75","2","lymphocyte"
"ARID4B","1","AT-rich"
"OPN3","1","opsin"
"SDCCAG8","1","serologically"
"PTPRN","2","protein"
"HHAT","1","hedgehog"
"KIF1B","1","kinesin"
"FOXC1","6","forkhead"
"TBC1D22A","22","TBC1"
"SYNE2","14","spectrin"
"PLEKHH1","14","pleckstrin"
"ATP9A","20","ATPase"
"SPO11","20","SPO11,"
"CBLN4","20","cerebellin"
"CHRDL2","11","chordin"
"FAM168A","11","family"
"RELT","11","RELT,"
"GALC","14","galactosylceramidase"
"NOP58","2","NOP58"
"SZRD1","1","SUZ"
"KCNH2","7","potassium"
"CUL1","7","cullin"
"FAM114A2","5","family"
"CYFIP2","5","cytoplasmic"
"TAB2","6","TGF-beta"
"GINM1","6","glycoprotein"
"EIF2AK2","2","eukaryotic"
"USP36","17","ubiquitin"
"KMT2C","7","lysine"
"MCOLN3","1","mucolipin"
"CCDC85A","2","coiled-coil"
"PUM2","2","pumilio"
"MRPL43","10","mitochondrial"
"ITIH4","3","inter-alpha-trypsin"
"ITIH1","3","inter-alpha-trypsin"
"HPF1","4","histone"
"ZFR","5","zinc"
"ZNF280C","X","zinc"
"NPFFR2","4","neuropeptide"
"PHF21B","22","PHD"
"TRAF1","9","TNF"
"RC3H2","9","ring"
"IL17RB","3","interleukin"
"TRAF3IP2","6","TRAF3"
"GYG2","X","glycogenin"
"DCBLD2","3","discoidin,"
"SERPINB3","18","serpin"
"SOAT1","1","sterol"
"PKP2","12","plakophilin"
"MSH4","1","mutS"
"F7","13","coagulation"
"GDI2","10","GDP"
"PRDM1","6","PR/SET"
"ATG5","6","autophagy"
"TMCC3","12","transmembrane"
"PITHD1","1","PITH"
"MTA3","2","metastasis"
"USP13","3","ubiquitin"
"ATP11B","3","ATPase"
"LAMC2","1","laminin"
"CDK14","7","cyclin"
"SEC61A1","3","Sec61"
"PPP1R12A","12","protein"
"RASGRF1","15","Ras"
"CAMK2B","7","calcium/calmodulin"
"CROCC","1","ciliary"
"POLR3E","16","RNA"
"ATP2B4","1","ATPase"
"ZC3H11A","1","zinc"
"RIOK2","5","RIO"
"YIPF1","1","Yip1"
"NDC1","1","NDC1"
"DGKG","3","diacylglycerol"
"FLYWCH1","16","FLYWCH-type"
"UNKL","16","unkempt"
"TBXAS1","7","thromboxane"
"PARP12","7","poly(ADP-ribose)"
"ALDH18A1","10","aldehyde"
"TARBP1","1","TAR"
"GATB","4","glutamyl-tRNA"
"MXD1","2","MAX"
"CDK17","12","cyclin"
"DNAJC25","9","DnaJ"
"SLC2A3","12","solute"
"PSD","10","pleckstrin"
"CTDP1","18","CTD"
"YBX3","12","Y-box"
"STYK1","12","serine/threonine/tyrosine"
"WNK1","12","WNK"
"CCAR1","10","cell"
"OGFR","20","opioid"
"GNA15","19","G"
"CREB3L3","19","cAMP"
"PIGV","1","phosphatidylinositol"
"PTPRU","1","protein"
"SNRNP40","1","small"
"RIMBP2","12","RIMS"
"COL11A1","1","collagen"
"QSER1","11","glutamine"
"MPC1","6","mitochondrial"
"ACAA1","3","acetyl-CoA"
"BCAT1","12","branched"
"HDAC7","12","histone"
"LZTS1","8","leucine"
"PRDM6","5","PR/SET"
"WNT8A","5","Wnt"
"SPAG4","20","sperm"
"NCKAP1","2","NCK"
"MRPS35","12","mitochondrial"
"GUCY1B1","4","guanylate"
"SFSWAP","12","splicing"
"TNK2","3","tyrosine"
"MON2","12","MON2"
"CDH3","16","cadherin"
"ARSF","X","arylsulfatase"
"GPBP1","5","GC-rich"
"DGAT2","11","diacylglycerol"
"ZNF112","19","zinc"
"CS","12","citrate"
"LTK","15","leukocyte"
"MRPS24","7","mitochondrial"
"ELMO2","20","engulfment"
"WAPL","10","WAPL"
"VMP1","17","vacuole"
"APPBP2","17","amyloid"
"POLD1","19","DNA"
"SEZ6","17","seizure"
"EIF4B","12","eukaryotic"
"SLC6A16","19","solute"
"BICRA","19","BRD4"
"SPHK2","19","sphingosine"
"RPL18","19","ribosomal"
"CA11","19","carbonic"
"ISOC2","19","isochorismatase"
"U2AF2","19","U2"
"EPN1","19","epsin"
"MED29","19","mediator"
"AHRR","5","aryl-hydrocarbon"
"GSC2","22","goosecoid"
"ZNF275","X","zinc"
"MTMR1","X","myotubularin"
"GPC1","2","glypican"
"ADCK1","14","aarF"
"HAGH","16","hydroxyacylglutathione"
"RNF4","4","ring"
"CASP8","2","caspase"
"LIMCH1","4","LIM"
"INTS13","12","integrator"
"TM7SF3","12","transmembrane"
"DLX3","17","distal-less"
"SPA17","11","sperm"
"TSPAN32","11","tetraspanin"
"WISP2","20","WNT1"
"DMRT3","9","doublesex"
"ST3GAL6","3","ST3"
"ATP2C2","16","ATPase"
"NGFR","17","nerve"
"CDON","11","cell"
"TAF2","8","TATA-box"
"HIPK2","7","homeodomain"
"TNPO3","7","transportin"
"BORCS8-MEF2B","19","BORCS8-MEF2B"
"RFXANK","19","regulatory"
"TMEM161A","19","transmembrane"
"LPAR2","19","lysophosphatidic"
"CTSA","20","cathepsin"
"SUGP2","19","SURP"
"SLC12A2","5","solute"
"SNX24","5","sorting"
"EYA2","20","EYA"
"CNN2","19","calponin"
"ABCA7","19","ATP"
"SNCAIP","5","synuclein"
"DDX20","1","DEAD-box"
"BTBD1","15","BTB"
"FAR2","12","fatty"
"BCAS1","20","breast"
"POU1F1","3","POU"
"CHI3L2","1","chitinase"
"SBNO2","19","strawberry"
"PMS1","2","PMS1"
"HMG20B","19","high"
"CALCRL","2","calcitonin"
"TAF11","6","TATA-box"
"ANKS1A","6","ankyrin"
"AP3D1","19","adaptor"
"ZNF76","6","zinc"
"SLC9A3R2","16","SLC9A3"
"NTHL1","16","nth"
"UHRF1BP1","6","UHRF1"
"GNAI3","1","G"
"IPO5","13","importin"
"OAT","10","ornithine"
"WDR3","1","WD"
"PKN2","1","protein"
"WDR18","19","WD"
"TRAM2","6","translocation"
"NTN1","17","netrin"
"GLP2R","17","glucagon"
"MCM10","10","minichromosome"
"DGKA","12","diacylglycerol"
"ERBB3","12","erb-b2"
"ROPN1","3","rhophilin"
"ANKRD44","2","ankyrin"
"KARS","16","lysyl-tRNA"
