"MaleID","TestisArea_mm2","NumMaleLittermates","NumFemaleLittermates","LitterSize","Weight_g"
"HF522",26.26666667,2,0,3,11.6
"HF525",18.4,0,4,5,14.3
"HF543",33.6,0,1,2,15.6
"HF547",28.53333333,2,0,3,18.8
"HF549",21.6,2,0,3,17.6
"HF551",30.53333333,4,1,6,14.7
"HF553",28.93333333,4,1,6,15.7
"HF554",44.8,4,1,6,14.6
"HF556",27.33333333,0,1,2,19.4
"HF560",25.33333333,1,1,3,21.7
"HF561",27.46666667,1,2,4,10.4
"HF568",29.46666667,0,2,3,16.8
"HF572",26.4,3,2,6,16.8
"HF573",38,3,2,6,10.3
"HF574",22.93333333,3,2,6,23.3
"HF581",11.46666667,1,2,4,18.7
"HF584",24.8,0,2,3,17.3
"HF587",39.46666667,1,3,5,14
"HF588",33.46666667,1,3,5,10.8
"HF592",23.6,1,2,4,13.6
"HF593",19.86666667,1,2,4,14.7
"HF597",44.8,4,1,6,16.7
"HF597.5",30.8,4,1,6,16
"HF599",49.06666667,4,1,6,16
"HF600",26.8,4,1,6,19.1
"HF603",31.33333333,2,2,5,17.2
"HF604",21.2,2,2,5,15.7
"HF609",32.66666667,0,2,3,16.9
"HF616",34.8,1,1,3,11.6
"HF634",21.46666667,2,3,6,19.3
"HF642",20.66666667,1,2,4,15.1
"HF643",34.8,2,1,4,16.2
"HF644",30.8,2,1,4,16.3
"HF645",32.53333333,2,1,4,10.4
"HF647",31.2,2,4,7,11.4
"HF648",24.8,2,4,7,11.8
"HF649",41.33333333,2,4,7,14.9
"HF658",25.06666667,1,1,3,16.5
"HF659",30.13333333,1,1,3,14.6
"HF670",29.33333333,0,0,1,19.1
"HF671",38.66666667,3,0,4,16.5
"HF672",28.26666667,3,0,4,15.1
"HF675",16.13333333,0,2,3,12.6
"HF676",35.46666667,1,3,5,12.6
"HF677",24.8,1,3,5,10.7
"HF683",33.86666667,3,2,6,17.9
"HF774",31.6,1,4,6,14.9
"HF776",32.4,1,4,6,21.1
"HF791",24.8,1,2,4,20.3
"HF792",32.93333333,1,2,4,17.2
"HF796",34.4,3,0,4,16.7
"HF798",30.93333333,3,0,4,14.1
"HF799",24.93333333,2,0,3,18
"HF801",29.33333333,2,0,3,14
"HF804",27.6,1,0,2,19.6
"HF805",36.53333333,1,0,2,16.9
"HF808",30.93333333,1,2,4,16.4
"HF814",28.66666667,0,4,5,12.7
"HF816",26,1,0,2,16.4
"HF820",32.26666667,2,3,6,14.6
"HF823",30.66666667,2,0,3,13
"HF825",12.4,2,1,4,19
"HF826",24.66666667,2,1,4,24.5
"HF827",34,2,1,4,18.4
"HF828",20.93333333,0,1,2,24.1
"HF829",10.26666667,0,2,3,13.3
"HF833",29.33333333,3,1,5,14.2
"HF834",35.33333333,3,1,5,12.3
"HF836",51.33333333,3,1,5,26.1
"HF837",28.4,2,1,4,15.2
"HF838",35.06666667,2,1,4,14.4
"HF839",30.93333333,2,1,4,10.8
"HF840",27.06666667,1,2,4,23.2
"HF841",19.86666667,1,2,4,8.6
"HF842",26.66666667,1,2,4,14.4
"HF843",34.93333333,1,2,4,16.6
"HF844",36.26666667,1,2,4,17.1
"HF845",35.6,2,1,4,18.6
"HF846",34.13333333,2,2,5,16.3
"HF847",36.26666667,2,2,5,18.4
"HF848",27.33333333,2,2,5,11.3
"HF850",27.6,2,0,3,17.1
"HF851",31.2,2,0,3,17.4
"HF852",33.06666667,1,0,2,17.3
"HF853",32.26666667,1,2,4,18
"HF857",30.8,0,1,2,13.9
"HF857.5",16.4,1,2,4,13.3
"HF859",28,1,2,4,17.3
"HF862",34.13333333,2,2,5,18.9
"HF864",12.93333333,2,2,5,16.1
"HF865",35.06666667,2,1,4,11.9
"HF867",40.8,2,1,4,19
"HF870",31.33333333,1,4,6,14
"HF871",37.6,1,4,6,16.9
"HF872",29.6,2,2,5,15.7
"HF873",27.2,2,2,5,17.8
"HF874",33.73333333,2,2,5,17.8
"HF875",23.2,1,1,3,16.5
"HF876",24.8,2,2,5,25.4
"HF877",30.53333333,2,2,5,13.8
"HF878",36.4,2,2,5,16.5
"HF879",19.46666667,0,1,2,15.5
"HF880",32,2,3,6,15.2
"HF882",34.4,2,3,6,14.9
"HF883",27.6,3,1,5,19.8
"HF884",24.4,3,1,5,24.3
"HF886",37.6,3,1,5,17.8
"HF887",49.6,4,1,6,12.8
"HF888",22,4,1,6,20
"HF889",44.4,4,1,6,14.2
"HF890",31.06666667,1,0,2,17.6
"HF891",22.13333333,1,0,2,10.5
"HF892",32.66666667,1,2,4,16.3
"HF893",29.2,1,2,4,13.4
"HF895",37.6,1,4,6,15.4
"HF898",29.6,2,3,6,16.3
"HF900",27.33333333,2,3,6,12.2
"HF901",29.73333333,1,4,6,18.3
"HF902",24.66666667,1,4,6,16.6
"HF903",26,2,2,5,19.8
"HF904",26.8,2,2,5,20.5
"HF905",27.2,0,2,3,12.7
"HF906",29.6,0,4,5,17.3
"HF907",34.26666667,2,2,5,14.4
"HF908",21.73333333,0,0,1,13.5
"HF910",30.53333333,1,0,2,10.2
"HF912",26,4,0,5,14.2
"HF913",33.73333333,4,0,5,13.4
"HF914",32.53333333,4,0,5,15.5
"HF916",21.6,4,0,5,16.8
"HF917",30.8,1,0,2,21.2
"HF918",28,1,0,2,16.8
"HF919",28.4,3,2,6,18.5
"HF920",22.26666667,3,2,6,12.9
"HF921",31.46666667,3,2,6,17.3
"HF922",29.6,3,2,6,16.9
"HF924",14.4,1,3,5,15.4
"HF925",38.4,1,3,5,21.1
"HF926",18.26666667,0,2,3,10.9
"HF929",25.6,2,0,3,22
"HF933",35.2,1,3,5,10.8
"HF934",38.93333333,1,3,5,17.3
"HF936",27.06666667,1,2,4,14.8
"HF937",28.8,4,0,5,16.1
"HF939",33.73333333,4,0,5,15.7
"HF940",26.53333333,1,3,5,14.3
"HF944",31.6,0,3,4,20.7
"HF945",24.66666667,1,0,2,14.7
"HF946",18.66666667,1,0,2,11.5
"HF947",33.46666667,2,0,3,17.2
"HF948",27.33333333,2,0,3,13.8
"HF949",32.53333333,1,4,6,18.7
"HF950",26.8,1,4,6,13.6
"HF951",30.93333333,1,1,3,17.3
"HF952",29.2,1,1,3,19.9
"HF953",32.53333333,1,3,5,17.4
"HF954",31.73333333,1,3,5,19.9
"HF955",26.26666667,4,0,5,16.7
"HF956",37.73333333,4,0,5,15.5
"HF957",22.26666667,4,0,5,17.9
"HF958",24.13333333,1,1,3,21.1
"HF959",28.8,1,1,3,16.9
"HF960",30.8,3,1,5,17.8
"HF961",35.86666667,3,1,5,21.2
"HF962",31.46666667,0,1,2,19.5
"HF963",28.8,0,1,2,15.4
"HF964",30.8,0,2,3,16
"HF965",34.53333333,0,2,3,11.7
"HF966",27.73333333,1,4,6,19.1
"HF967",28,4,0,5,15.7
"HF968",32.13333333,4,0,5,12.3
"HF969",42.53333333,4,0,5,14.6
"HF970",38.8,4,0,5,12.8
"HF971",32.93333333,2,3,6,21.7
"HF972",27.46666667,2,3,6,14.9
"HF973",28.53333333,2,3,6,10.9
"HF974",46,3,1,5,17.9
"HF975",25.46666667,3,1,5,20.2
"HF976",35.86666667,1,1,3,17.6
"HF977",24,1,1,3,18.5
"HF978",33.6,2,0,3,18
"HF979",28,2,0,3,12.7
"HF980",36.26666667,2,0,3,13.7
"HF981",29.06666667,0,4,5,16.8
"HF982",28.93333333,0,2,3,20.2
