"ID","event","time_weeks","sex","age","rank"
5217791,0,15,"m",1,"nonbreeder"
5240607,0,15,"f",1,"nonbreeder"
5668712,0,17,"m",1,"nonbreeder"
5222344,0,3,"f",1,"nonbreeder"
5222344,0,14,"f",1,"nonbreeder"
5132320,0,19,"f",1,"nonbreeder"
5916312,0,18,"f",1,"nonbreeder"
5243612,0,18,"f",1,"nonbreeder"
5137447,0,16,"f",1,"nonbreeder"
5270771,0,15,"m",1,"nonbreeder"
5285918,0,15,"f",1,"nonbreeder"
5216564,0,15,"m",1,"nonbreeder"
5819067,0,14,"f",6,"breeder"
5096007,0,15,"f",1,"nonbreeder"
5054786,1,14,"f",1,"nonbreeder"
5269907,0,13,"f",2,"breeder"
5429079,0,15,"m",1,"nonbreeder"
5425869,0,15,"m",1,"nonbreeder"
5413623,0,15,"m",1,"nonbreeder"
5485866,1,4,"f",1,"nonbreeder"
5256531,0,13,"f",3,"breeder"
5041646,1,13,"m",1,"nonbreeder"
5683120,1,13,"f",1,"nonbreeder"
5116645,1,14,"f",1,"nonbreeder"
5387986,0,15,"f",1,"nonbreeder"
5659284,0,15,"m",1,"nonbreeder"
5252978,1,14,"m",1,"nonbreeder"
5055193,0,18,"f",1,"nonbreeder"
5638454,0,19,"m",1,"nonbreeder"
5252522,0,18,"m",1,"nonbreeder"
5353960,0,19,"f",1,"nonbreeder"
5714934,0,19,"f",1,"nonbreeder"
5120527,0,19,"m",1,"nonbreeder"
5752871,0,19,"f",1,"nonbreeder"
5536794,0,18,"f",1,"nonbreeder"
5267512,0,18,"m",1,"nonbreeder"
5217281,0,17,"m",1,"nonbreeder"
5421618,0,17,"f",1,"nonbreeder"
5905676,0,18,"f",1,"nonbreeder"
5125934,0,18,"m",1,"nonbreeder"
5884849,0,18,"m",1,"nonbreeder"
5179806,0,19,"f",1,"nonbreeder"
5416378,1,2,"m",1,"nonbreeder"
5153159,0,18,"m",1,"nonbreeder"
5460514,0,19,"m",1,"nonbreeder"
5004671,1,16,"m",1,"nonbreeder"
5702314,0,17,"f",1,"nonbreeder"
5702314,0,18,"f",1,"nonbreeder"
5875253,0,17,"f",1,"nonbreeder"
5682855,0,17,"f",1,"nonbreeder"
5580635,0,18,"m",1,"nonbreeder"
5967391,0,17,"f",1,"nonbreeder"
5926644,1,1,"f",1,"nonbreeder"
5114364,0,18,"m",1,"nonbreeder"
5604258,1,17,"m",1,"nonbreeder"
5354171,0,7,"f",1,"nonbreeder"
5215203,0,18,"f",1,"nonbreeder"
5523490,0,13,"f",2,"breeder"
5429114,0,18,"f",1,"nonbreeder"
5399685,0,18,"f",1,"nonbreeder"
5954316,1,2,"f",1,"nonbreeder"
5083165,1,2,"m",1,"nonbreeder"
5698426,0,18,"m",1,"nonbreeder"
5929346,0,9,"m",1,"nonbreeder"
5594557,0,9,"f",1,"nonbreeder"
5702922,0,17,"m",1,"nonbreeder"
5145523,1,1,"m",1,"nonbreeder"
5388022,0,18,"f",1,"nonbreeder"
5384662,1,14,"m",1,"nonbreeder"
5160821,0,18,"f",1,"nonbreeder"
5850618,0,18,"f",1,"nonbreeder"
5759797,1,2,"f",1,"nonbreeder"
5379556,0,15,"m",1,"nonbreeder"
5640721,1,15,"f",1,"nonbreeder"
5052287,0,18,"f",1,"nonbreeder"
5508090,1,13,"m",1,"nonbreeder"
5245909,1,1,"m",1,"nonbreeder"
5255191,1,2,"f",1,"nonbreeder"
5381357,1,10,"f",1,"nonbreeder"
5921450,0,18,"m",1,"nonbreeder"
5156726,0,18,"f",1,"nonbreeder"
5160962,0,18,"m",1,"nonbreeder"
5358193,0,18,"f",1,"nonbreeder"
5436282,1,13,"m",1,"nonbreeder"
5418666,1,8,"f",1,"nonbreeder"
5116303,0,15,"m",1,"nonbreeder"
5348489,0,9,"m",1,"nonbreeder"
5818337,1,13,"m",1,"nonbreeder"
5703951,0,18,"m",1,"nonbreeder"
5995473,0,18,"m",1,"nonbreeder"
5565839,0,18,"m",1,"nonbreeder"
5241761,0,18,"m",1,"nonbreeder"
5814696,0,18,"m",1,"nonbreeder"
5459270,0,19,"f",1,"nonbreeder"
5487711,0,18,"f",1,"nonbreeder"
5370363,1,11,"m",1,"nonbreeder"
5499695,0,17,"f",1,"nonbreeder"
5828688,0,17,"m",1,"nonbreeder"
5874631,0,4,"f",1,"nonbreeder"
5823584,0,19,"f",1,"nonbreeder"
5852515,0,19,"f",1,"nonbreeder"
5098604,0,19,"f",1,"nonbreeder"
5212405,0,19,"f",1,"nonbreeder"
5756093,0,19,"m",1,"nonbreeder"
5224677,0,15,"m",1,"nonbreeder"
5822073,0,19,"m",1,"nonbreeder"
5141795,0,15,"f",1,"nonbreeder"
5614128,0,18,"m",1,"nonbreeder"
5298165,0,19,"f",1,"nonbreeder"
5657595,0,12,"f",2,"nonbreeder"
5514717,0,13,"f",2,"nonbreeder"
5617740,0,13,"m",3,"nonbreeder"
5384813,0,14,"f",2,"breeder"
5534180,0,10,"f",3,"nonbreeder"
5094213,0,14,"f",3,"breeder"
5324046,0,13,"m",7,"breeder"
5654456,0,14,"f",3,"breeder"
5556939,0,15,"f",3,"breeder"
5744663,0,15,"f",8,"breeder"
5395185,0,14,"f",5,"breeder"
5098541,0,15,"f",3,"breeder"
5252031,0,14,"f",5,"breeder"
5499010,0,15,"f",6,"breeder"
5128635,0,15,"f",4,"breeder"
5622416,0,15,"m",14,"breeder"
5152902,0,15,"f",8,"breeder"
5681569,0,15,"f",3,"breeder"
5523490,0,14,"f",9,"breeder"
5542741,0,14,"f",3,"breeder"
5682304,0,13,"f",7,"breeder"
5081615,0,15,"f",3,"breeder"
5430377,0,15,"f",4,"breeder"
5525576,0,13,"f",12,"breeder"
5201738,0,15,"m",2,"nonbreeder"
5755294,0,14,"f",4,"breeder"
5905873,0,14,"f",4,"breeder"
5525337,0,14,"f",12,"breeder"
5492132,0,14,"f",2,"breeder"
5550805,0,15,"f",3,"breeder"
5517108,0,15,"f",2,"breeder"
5160275,0,13,"f",2,"breeder"
5475633,0,13,"f",6,"breeder"
5279549,0,15,"f",3,"breeder"
5463264,0,13,"f",3,"breeder"
5087380,0,13,"f",9,"breeder"
5783302,0,14,"f",4,"breeder"
5600537,0,13,"f",3,"breeder"
5728383,0,14,"f",2,"breeder"
5634243,0,14,"f",3,"breeder"
5459825,0,14,"f",5,"breeder"
5675986,0,14,"f",5,"breeder"
5314721,0,13,"f",3,"breeder"
5965895,0,14,"m",5,"breeder"
5730305,0,13,"f",7,"breeder"
5140458,0,14,"f",4,"breeder"
5660556,0,13,"f",3,"breeder"
5303932,0,14,"f",5,"breeder"
5928484,0,14,"m",6,"breeder"
5552877,0,14,"f",4,"breeder"
5799397,0,16,"m",1,"nonbreeder"
5975725,0,12,"m",1,"nonbreeder"
5124168,0,14,"f",7,"breeder"
5536951,0,13,"f",3,"breeder"
5773601,0,14,"f",6,"breeder"
5292407,0,14,"f",6,"breeder"
5609432,0,14,"f",4,"breeder"
5585377,0,15,"f",7,"breeder"
5679858,0,15,"f",4,"breeder"
5830549,0,14,"f",2,"breeder"
5784654,0,13,"f",3,"breeder"
5912548,0,13,"m",3,"breeder"
5109146,0,13,"f",3,"breeder"
5192927,0,13,"f",7,"breeder"
5499695,0,14,"f",9,"breeder"
5886722,0,14,"f",7,"breeder"
5135077,0,12,"m",1,"nonbreeder"
5394744,0,15,"m",4,"breeder"
5296367,0,13,"m",3,"breeder"
5891673,0,14,"f",3,"breeder"
5110977,0,14,"f",6,"breeder"
5781647,0,13,"f",3,"breeder"
5159190,0,12,"f",1,"nonbreeder"
5478427,1,9,"m",6,"breeder"
5296367,1,5,"m",4,"breeder"
5886722,0,15,"f",8,"breeder"
5189295,0,15,"f",5,"breeder"
5542741,0,14,"f",4,"breeder"
5395185,1,9,"f",6,"breeder"
5681569,0,15,"f",4,"breeder"
5630648,1,6,"f",2,"breeder"
5131567,0,15,"f",4,"breeder"
5270649,0,14,"f",14,"breeder"
5905873,0,15,"f",5,"breeder"
5611474,0,14,"f",3,"breeder"
5152902,0,16,"f",9,"breeder"
5525337,0,15,"f",13,"breeder"
5744663,0,15,"f",9,"breeder"
5830549,0,15,"f",3,"breeder"
5715484,0,15,"f",4,"breeder"
5037232,0,14,"f",6,"breeder"
5783302,0,15,"f",5,"breeder"
5499010,0,16,"f",7,"breeder"
5660556,0,4,"f",4,"breeder"
5796319,0,15,"f",4,"breeder"
5609432,1,5,"f",5,"breeder"
5192927,0,3,"f",8,"breeder"
5550805,0,15,"f",4,"breeder"
5475633,0,15,"f",7,"breeder"
5728383,0,4,"f",3,"breeder"
5128635,0,15,"f",5,"breeder"
5523490,1,8,"f",10,"breeder"
5094213,0,9,"f",4,"breeder"
5952158,0,14,"f",2,"breeder"
5459825,0,15,"f",6,"breeder"
5463264,0,15,"f",4,"breeder"
5675986,0,15,"f",6,"breeder"
5314721,0,13,"f",4,"breeder"
5682304,0,14,"f",8,"breeder"
5000034,1,7,"f",2,"breeder"
5109146,0,14,"f",4,"breeder"
5556939,0,15,"f",4,"breeder"
5619004,0,13,"f",2,"breeder"
5628279,0,15,"f",5,"breeder"
5926807,0,14,"f",3,"breeder"
5081615,0,15,"f",4,"breeder"
5600537,0,14,"f",4,"breeder"
5896338,0,14,"f",2,"breeder"
5737692,0,14,"f",3,"breeder"
5454634,0,14,"f",6,"breeder"
5124168,0,14,"f",8,"breeder"
5552877,0,14,"f",5,"breeder"
5303932,1,9,"f",6,"breeder"
5805447,0,14,"f",2,"breeder"
5730305,0,4,"f",8,"breeder"
5595627,0,14,"f",3,"nonbreeder"
5729427,0,13,"m",10,"breeder"
5353159,1,9,"m",10,"breeder"
5715484,0,14,"f",5,"breeder"
5517108,0,14,"f",4,"breeder"
5501341,1,6,"f",5,"breeder"
5759559,0,14,"f",3,"breeder"
5314721,0,13,"f",5,"breeder"
5556939,0,14,"f",5,"breeder"
5798644,0,14,"f",4,"breeder"
5939435,0,14,"m",2,"breeder"
5630033,0,14,"f",4,"breeder"
5270649,0,14,"f",15,"breeder"
5619004,0,14,"f",3,"breeder"
5796319,0,14,"f",5,"breeder"
5192927,1,5,"f",9,"breeder"
5620225,0,14,"f",3,"breeder"
5681569,0,14,"f",5,"breeder"
5131567,0,14,"f",5,"breeder"
5189295,0,13,"f",6,"breeder"
5628279,0,15,"f",6,"breeder"
5154072,0,14,"f",4,"breeder"
5037232,1,6,"f",7,"breeder"
5783302,0,14,"f",6,"breeder"
5597567,0,14,"f",4,"breeder"
5292407,0,14,"f",8,"breeder"
5081615,0,14,"f",5,"breeder"
5633453,0,14,"f",4,"breeder"
5475633,0,14,"f",8,"breeder"
5454634,0,14,"f",7,"breeder"
5634243,0,14,"f",5,"breeder"
5322342,1,3,"f",2,"breeder"
5999671,0,13,"m",3,"breeder"
5525337,0,14,"f",14,"breeder"
5459825,0,13,"f",7,"breeder"
5675986,0,13,"f",7,"breeder"
5357963,0,13,"f",5,"breeder"
5027836,0,13,"f",3,"breeder"
5499010,0,13,"f",8,"breeder"
5582631,0,14,"f",3,"breeder"
5109146,0,13,"f",5,"breeder"
5728383,0,13,"f",4,"breeder"
5926807,0,13,"f",4,"breeder"
5600537,1,3,"f",5,"breeder"
5886722,0,14,"f",9,"breeder"
5445801,0,13,"f",5,"breeder"
5094213,0,14,"f",5,"breeder"
5538401,0,13,"f",5,"breeder"
5815512,0,13,"f",3,"breeder"
5611474,0,13,"f",4,"breeder"
5830549,0,13,"f",4,"breeder"
5905873,0,13,"f",6,"breeder"
5542741,0,13,"f",5,"breeder"
5124168,0,13,"f",9,"breeder"
5463264,0,14,"f",5,"breeder"
5285063,0,13,"f",4,"nonbreeder"
5716841,0,13,"f",5,"breeder"
5550805,0,13,"f",5,"breeder"
5927548,0,11,"f",3,"breeder"
5682304,0,13,"f",9,"breeder"
5472315,0,13,"f",4,"breeder"
5139691,0,4,"f",1,"nonbreeder"
5895612,0,5,"f",1,"nonbreeder"
5613731,0,6,"m",1,"nonbreeder"
5136268,0,5,"m",1,"nonbreeder"
5980588,0,10,"f",4,"breeder"
5542213,0,14,"f",2,"breeder"
5820803,1,5,"m",5,"breeder"
