"animalID","treatment","age","initialherd","timeToTB","TBstatus","timeToDeath","deathStatus"
"R34","control",23,"Crocodile Bridge",349,0,NA,NA
"R6","anthelmintic",35,"Crocodile Bridge",349,0,NA,NA
"B34","anthelmintic",28,"Lower Sabie",353,1,1148,0
"R27","anthelmintic",33,"Crocodile Bridge",353,0,NA,NA
"Y26","control",23,"Crocodile Bridge",355,0,NA,NA
"R44","control",59,"Crocodile Bridge",356,1,10,1
"R9","control",30,"Crocodile Bridge",358,1,10,1
"O23","control",39,"Lower Sabie",358,0,NA,NA
"O51","control",30,"Lower Sabie",358,0,NA,NA
"O27","control",39,"Lower Sabie",359,1,1119,0
"O15","anthelmintic",62,"Lower Sabie",361,1,1154,0
"R45","anthelmintic",59,"Crocodile Bridge",361,0,NA,NA
"Y29","anthelmintic",63,"Crocodile Bridge",365,1,1036,0
"Y16b","control",38,"Crocodile Bridge",371,0,NA,NA
"O26","control",39,"Lower Sabie",372,1,129,1
"O14","control",52,"Lower Sabie",373,1,1107,0
"O3","anthelmintic",32,"Lower Sabie",375,1,NA,NA
"B16","control",42,"Lower Sabie",380,1,1081,0
"O22","anthelmintic",42,"Lower Sabie",388,1,1116,0
"O37","anthelmintic",29,"Lower Sabie",388,1,1124,0
"O4","control",24,"Lower Sabie",389,1,1126,0
"B13","control",30,"Lower Sabie",391,0,NA,NA
"B4","anthelmintic",31,"Lower Sabie",397,1,1108,0
"O19","anthelmintic",60,"Lower Sabie",400,1,NA,NA
"O8","control",72,"Lower Sabie",400,1,131,1
"O11","anthelmintic",84,"Lower Sabie",402,1,1083,0
"B57","control",40,"Lower Sabie",405,1,1072,0
"O47b","control",32,"Lower Sabie",433,1,778,0
"O32c","control",84,"Lower Sabie",468,0,NA,NA
"O39c","anthelmintic",60,"Lower Sabie",479,0,NA,NA
"Y44b","anthelmintic",57,"Crocodile Bridge",490,0,NA,NA
"O46","anthelmintic",96,"Lower Sabie",496,1,1015,0
"B39c","anthelmintic",55,"Lower Sabie",496,0,NA,NA
"B27","anthelmintic",29,"Lower Sabie",500,1,963,0
"Y43b","anthelmintic",60,"Crocodile Bridge",501,0,NA,NA
"W6","control",54,"Crocodile Bridge",505,0,NA,NA
"O48","anthelmintic",39,"Lower Sabie",508,1,1005,0
"O52","anthelmintic",120,"Lower Sabie",509,1,NA,NA
"O43","control",40,"Lower Sabie",521,0,NA,NA
"O31","control",29,"Lower Sabie",523,1,985,0
"Y4","control",47,"Crocodile Bridge",536,1,832,0
"Y39","anthelmintic",41,"Crocodile Bridge",537,0,NA,NA
"Y34","control",28,"Crocodile Bridge",538,0,NA,NA
"R5b","anthelmintic",42,"Crocodile Bridge",546,0,NA,NA
"Y39b","anthelmintic",60,"Crocodile Bridge",550,0,NA,NA
"Y38","control",23,"Crocodile Bridge",552,0,NA,NA
"R25","anthelmintic",60,"Crocodile Bridge",575,0,NA,NA
"R15d","control",60,"Crocodile Bridge",614,1,NA,NA
"Y2b","control",60,"Crocodile Bridge",643,0,NA,NA
"R12","control",40,"Crocodile Bridge",680,1,719,0
"B13b","control",42,"Lower Sabie",682,1,424,0
"O8b","control",60,"Lower Sabie",686,0,NA,NA
"R27b","anthelmintic",35,"Crocodile Bridge",691,0,NA,NA
"Y14","anthelmintic",45,"Crocodile Bridge",708,1,664,0
"Y43","anthelmintic",41,"Crocodile Bridge",712,0,NA,NA
"R20","control",47,"Crocodile Bridge",713,1,666,0
"B26","control",27,"Lower Sabie",714,1,394,1
"O28","anthelmintic",19,"Lower Sabie",714,0,NA,NA
"Y10","control",59,"Crocodile Bridge",715,0,NA,NA
"R39","control",34,"Crocodile Bridge",719,0,NA,NA
"Y41b","anthelmintic",49,"Crocodile Bridge",720,0,NA,NA
"O49","anthelmintic",40,"Lower Sabie",722,1,761,0
"Y26b","control",60,"Crocodile Bridge",723,0,NA,NA
"Y15c","anthelmintic",53,"Crocodile Bridge",728,0,NA,NA
"B21","anthelmintic",30,"Lower Sabie",728,0,NA,NA
"Y16","control",30,"Crocodile Bridge",740,1,11,1
"R29b","anthelmintic",51,"Crocodile Bridge",745,0,NA,NA
"O35","control",18,"Lower Sabie",751,1,NA,NA
"R24","anthelmintic",41,"Crocodile Bridge",775,0,NA,NA
"B50b","anthelmintic",72,"Lower Sabie",778,0,NA,NA
"B9","anthelmintic",40,"Lower Sabie",779,0,NA,NA
"Y34b","control",48,"Crocodile Bridge",818,0,NA,NA
"O23b","control",29,"Lower Sabie",853,0,NA,NA
"B2b","control",45,"Lower Sabie",856,0,NA,NA
"R45c","anthelmintic",58,"Crocodile Bridge",873,0,NA,NA
"Y9","anthelmintic",46,"Crocodile Bridge",893,1,501,0
"Y7b","control",41,"Crocodile Bridge",910,0,NA,NA
"Y32b","control",58,"Crocodile Bridge",922,0,NA,NA
"R4b","anthelmintic",60,"Crocodile Bridge",943,1,380,0
"O51b","control",61,"Lower Sabie",948,0,NA,NA
"R14b","anthelmintic",49,"Crocodile Bridge",951,1,NA,NA
"O9","control",29,"Lower Sabie",954,1,531,0
"O29b","control",29,"Lower Sabie",957,0,NA,NA
"O34","anthelmintic",72,"Lower Sabie",959,1,NA,NA
"Y40","control",30,"Crocodile Bridge",996,1,355,0
"Y1b","control",47,"Crocodile Bridge",1028,0,NA,NA
"R7b","control",27,"Crocodile Bridge",1031,1,194,0
"Y28","anthelmintic",41,"Crocodile Bridge",1045,0,NA,NA
"Y46b","control",54,"Crocodile Bridge",1046,0,NA,NA
"R13","control",45,"Crocodile Bridge",1049,0,NA,NA
"R30","anthelmintic",60,"Crocodile Bridge",1052,1,321,0
"R43","control",120,"Crocodile Bridge",1052,0,NA,NA
"R11","control",108,"Crocodile Bridge",1052,0,NA,NA
"B31","control",30,"Lower Sabie",1053,0,NA,NA
"Y24b","control",54,"Crocodile Bridge",1079,1,146,0
"O12","control",54,"Lower Sabie",1081,1,399,0
"O18","anthelmintic",41,"Lower Sabie",1081,1,410,0
"B48b","anthelmintic",54,"Lower Sabie",1087,0,NA,NA
"B36b","anthelmintic",49,"Lower Sabie",1089,0,NA,NA
"R40","control",29,"Crocodile Bridge",1096,0,NA,NA
"Y36","control",58,"Crocodile Bridge",1116,0,NA,NA
"R10","anthelmintic",45,"Crocodile Bridge",1121,0,NA,NA
"Y37b","anthelmintic",54,"Crocodile Bridge",1121,0,NA,NA
"B29","control",18,"Lower Sabie",1122,1,371,0
"R35","anthelmintic",60,"Crocodile Bridge",1122,0,NA,NA
"Y20b","anthelmintic",41,"Crocodile Bridge",1134,0,NA,NA
"O17b","anthelmintic",29,"Lower Sabie",1136,0,NA,NA
"B7","anthelmintic",35,"Lower Sabie",1139,1,364,0
"R15b","control",41,"Crocodile Bridge",1191,0,NA,NA
"B33","control",51,"Lower Sabie",1220,0,NA,NA
"B46","anthelmintic",60,"Lower Sabie",1232,0,NA,NA
"O45b","control",60,"Lower Sabie",1232,0,NA,NA
"B20","control",30,"Lower Sabie",1236,0,NA,NA
"B8","anthelmintic",54,"Lower Sabie",1237,0,NA,NA
"B12","anthelmintic",51,"Lower Sabie",1238,0,NA,NA
"O41","control",42,"Lower Sabie",1239,0,NA,NA
"Y47","control",31,"Crocodile Bridge",1244,0,NA,NA
"R28","control",45,"Crocodile Bridge",1247,0,NA,NA
"B17","anthelmintic",63,"Lower Sabie",1248,0,NA,NA
"B44","anthelmintic",39,"Lower Sabie",1248,0,NA,NA
"R47","anthelmintic",30,"Crocodile Bridge",1250,0,NA,NA
"R41","control",45,"Crocodile Bridge",1251,0,NA,NA
"B3","anthelmintic",51,"Lower Sabie",1252,0,NA,NA
"O40","control",60,"Lower Sabie",1253,0,NA,NA
"Y6","anthelmintic",42,"Crocodile Bridge",1257,0,NA,NA
"Y27","anthelmintic",54,"Crocodile Bridge",1259,0,NA,NA
"Y18","anthelmintic",108,"Crocodile Bridge",1260,0,NA,NA
"Y13","control",31,"Crocodile Bridge",1260,0,NA,NA
"Y45","control",41,"Crocodile Bridge",1260,0,NA,NA
"R33","control",41,"Crocodile Bridge",1264,0,NA,NA
"R19","control",35,"Crocodile Bridge",1265,0,NA,NA
"R16","anthelmintic",42,"Crocodile Bridge",1267,0,NA,NA
"O20","anthelmintic",29,"Lower Sabie",1271,0,NA,NA
"R52","control",132,"Crocodile Bridge",1272,0,NA,NA
"Y17","control",59,"Crocodile Bridge",1274,0,NA,NA
"R36","anthelmintic",96,"Crocodile Bridge",1288,0,NA,NA
"W2","anthelmintic",30,"Crocodile Bridge",1303,0,NA,NA
"Y11","anthelmintic",45,"Crocodile Bridge",1305,0,NA,NA
"B35","anthelmintic",35,"Lower Sabie",1312,0,NA,NA
"B6","anthelmintic",66,"Lower Sabie",1318,0,NA,NA
"B19","control",96,"Lower Sabie",1330,0,NA,NA
"B43","control",96,"Lower Sabie",1330,0,NA,NA
"O36","control",84,"Lower Sabie",1333,0,NA,NA
"O25","anthelmintic",44,"Lower Sabie",1337,0,NA,NA
"O13","control",84,"Lower Sabie",1338,0,NA,NA
"R1","anthelmintic",54,"Crocodile Bridge",1344,0,NA,NA
"R22","anthelmintic",44,"Crocodile Bridge",1391,0,NA,NA
"O44","anthelmintic",45,"Lower Sabie",1448,0,NA,NA
"O5","control",26,"Lower Sabie",1451,1,NA,NA
"O21","control",29,"Lower Sabie",1456,0,NA,NA
"O38","anthelmintic",28,"Lower Sabie",1457,0,NA,NA
"B25","control",21,"Lower Sabie",1474,0,NA,NA
"B5","control",30,"Lower Sabie",1482,0,NA,NA
"B30","control",27,"Lower Sabie",1486,0,NA,NA
"O30","control",41,"Lower Sabie",1493,1,NA,NA
"B41","control",17,"Lower Sabie",1500,0,NA,NA
"B23","anthelmintic",120,"Lower Sabie",1505,0,NA,NA
