"scientificName","commonName","criticalHabitat","speciesGroup","Status","specialRules","whereListed"
"Amazona brasiliensis","Red-tailed parrot","N/A","Birds","Endangered","N/A","Wherever found"
"Amazona collaria","Yellow-billed parrot","N/A","Birds","Threatened","17.41(c)","Wherever found"
"Amazona guildingii","St Vincent parrot","N/A","Birds","Endangered","N/A","Wherever found"
"Amazona imperialis","Imperial parrot","N/A","Birds","Endangered","N/A","Wherever found"
"Amazona leucocephala","Bahaman or Cuban parrot","N/A","Birds","Endangered","N/A","Wherever found"
"Amazona pretrei pretrei","Red-spectacled parrot","N/A","Birds","Endangered","N/A","Wherever found"
"Amazona rhodocorytha","Red-browed parrot","N/A","Birds","Endangered","N/A","Wherever found"
"Amazona versicolor","St. Lucia parrot","N/A","Birds","Endangered","N/A","Wherever found"
"Amazona vinacea","Vinaceous-breasted parrot","N/A","Birds","Endangered","N/A","Wherever found"
"Amazona vittata","Puerto Rican parrot","N/A","Birds","Endangered","N/A","Wherever found"
"Amblema neislerii","Fat threeridge (mussel)","17.95(f)","Clams","Endangered","N/A","Wherever found"
"Amblyopsis rosae","Ozark cavefish","N/A","Fishes","Threatened","N/A","Wherever found"
"Ambrysus amargosus","Ash Meadows naucorid","17.95(i)","Insects","Threatened","N/A","Wherever found"
"Ambystoma bishopi","Reticulated flatwoods salamander","17.95(d)","Amphibians","Endangered","N/A","Wherever found"
"Ambystoma californiense","California tiger Salamander","17.95(d)","Amphibians","Endangered","N/A","U.S.A. (CA - Santa Barbara County)"
"Ambystoma californiense","California tiger Salamander","17.95(d)","Amphibians","Endangered","N/A","U.S.A. (CA - Sonoma County)"
"Ambystoma californiense","California tiger Salamander","17.95(d)","Amphibians","Threatened","17.43(c)","U.S.A. (CA - Central California)"
"Ambystoma cingulatum","Frosted Flatwoods salamander","17.95(d)","Amphibians","Threatened","N/A","Wherever found"
"Ambystoma macrodactylum croceum","Santa Cruz long-toed salamander","N/A","Amphibians","Endangered","N/A","Wherever found"
"Ambystoma tigrinum stebbinsi","Sonora tiger Salamander","N/A","Amphibians","Endangered","N/A","Wherever found"
"Ameiva polops","St. Croix ground lizard","17.95(c)","Reptiles","Endangered","N/A","Wherever found"
"Ammodorcas clarkei","Clark's gazelle","N/A","Mammals","Endangered","N/A","Wherever found"
"Ammodramus maritimus mirabilis","Cape Sable seaside sparrow","17.95(b)","Birds","Endangered","N/A","Wherever found"
"Ammodramus savannarum floridanus","Florida grasshopper sparrow","N/A","Birds","Endangered","N/A","Wherever found"
"Amphispiza belli clementeae","San Clemente sage sparrow","N/A","Birds","Threatened","N/A","Wherever found"
"Amytornis goyderi","Eyrean grasswren (flycatcher)","N/A","Birds","Endangered","N/A","Wherever found"
"Anacropora spinosa","No common name","N/A","Corals","Threatened","N/A","Wherever found"
"Anaea troglodyta floridalis","Florida leafwing Butterfly","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Anairetes alpinus","Ash-breasted tit-tyrant","N/A","Birds","Endangered","N/A","Wherever found"
"Anas aucklandica nesiotis","Campbell Island flightless teal","N/A","Birds","Endangered","N/A","Wherever found"
"Anas laysanensis","Laysan duck","N/A","Birds","Endangered","N/A","Wherever found"
"Anas wyvilliana","Hawaiian (=koloa) Duck","N/A","Birds","Endangered","N/A","Wherever found"
"Anaxyrus californicus","Arroyo (=arroyo southwestern) toad","17.95(d)","Amphibians","Endangered","N/A","Wherever found"
"Anaxyrus canorus","Yosemite toad","17.95(d)","Amphibians","Threatened","N/A","Wherever found"
"Andrias davidianus (=davidianus d.)","Chinese giant salamander","N/A","Amphibians","Endangered","N/A","Wherever found"
"Andrias japonicus (=davidianus j.)","Japanese giant salamander","N/A","Amphibians","Endangered","N/A","Wherever found"
"Anguispira picta","Painted snake coiled forest snail","N/A","Snails","Threatened","N/A","Wherever found"
"Anodorhynchus glaucus","Glaucous macaw","N/A","Birds","Endangered","N/A","Wherever found"
"Anodorhynchus leari","Indigo macaw","N/A","Birds","Endangered","N/A","Wherever found"
"Anolis roosevelti","Culebra Island giant anole","17.95(c)","Reptiles","Endangered","N/A","Wherever found"
"Anoxypristis cuspidata","Narrow sawfish","N/A","Fishes","Endangered","N/A","Wherever found"
"Antechinomys laniger","Eastern jerboa marsupial","N/A","Mammals","Endangered","N/A","Wherever found"
"Antechinus apicalis","Dibbler","N/A","Mammals","Endangered","N/A","Wherever found"
"Antilocapra americana peninsularis","Peninsular pronghorn","N/A","Mammals","Endangered","N/A","Mexico (Baja California)"
"Antilocapra americana sonoriensis","Sonoran pronghorn","N/A","Mammals","Endangered","N/A","Wherever found except where listed as an experimental population"
"Antilocapra americana sonoriensis","Sonoran pronghorn","N/A","Mammals","Experimental Population Non-Essential","17.84(v)","In Arizona an area north of Interstate 8 and south of Interstate 10 bounded by the Colorado River on the west and Interstate 10 on the east; and an area south of Interstate 8 bounded by Highway 85 on the west Interstates 10 and 19 on the east and the U.S.-Mexico border on the south"
"Antrobia culveri","Tumbling Creek cavesnail","17.95(f)","Snails","Endangered","N/A","Wherever found"
"Antrolana lira","Madison Cave isopod","N/A","Crustaceans","Threatened","17.46(a)","Wherever found"
"Aonyx congicus (=congica) microdon","Cameroon clawless otter","N/A","Mammals","Endangered","N/A","Wherever found"
"Aphelocoma coerulescens","Florida scrub-jay","N/A","Birds","Threatened","N/A","Wherever found"
"Aplodontia rufa nigra","Point Arena mountain beaver","N/A","Mammals","Endangered","N/A","Wherever found"
"Aplonis pelzelni","Ponape mountain starling","N/A","Birds","Endangered","N/A","Wherever found"
"Apodemia mormo langei","Lange's metalmark butterfly","N/A","Insects","Endangered","N/A","Wherever found"
"Aproteles bulmerae","Bulmer's fruit bat (=flying fox)","N/A","Mammals","Endangered","N/A","Wherever found"
"Aquila heliaca adalberti","Spanish imperial eagle","N/A","Birds","Endangered","N/A","Wherever found"
"Ara ambiguus","Great green macaw","N/A","Birds","Endangered","N/A","Wherever found"
"Ara glaucogularis","Blue-throated macaw","N/A","Birds","Endangered","N/A","Wherever found"
"Ara militaris","Military macaw","N/A","Birds","Endangered","N/A","Wherever found"
"Aratinga guarouba","Golden parakeet","N/A","Birds","Endangered","N/A","Wherever found"
"Arcanator orostruthus","Dappled mountain robin","N/A","Birds","Threatened","N/A","Wherever found"
"Arctocephalus townsendi","Guadalupe fur seal","N/A","Mammals","Threatened","223.201","Wherever found"
"Ardeotis (=Choriotis) nigriceps","Great Indian bustard","N/A","Birds","Endangered","N/A","Wherever found"
"Arkansia wheeleri","Ouachita rock pocketbook","N/A","Clams","Endangered","N/A","Wherever found"
"Assiminea pecos","Pecos assiminea snail","17.95(f)","Snails","Endangered","N/A","Wherever found"
"Ateles geoffroyi frontatus","Spider monkey","N/A","Mammals","Endangered","N/A","Wherever found"
"Ateles geoffroyl panamensis","Spider monkey","N/A","Mammals","Endangered","N/A","Wherever found"
"Atelopus varius zeteki","Panamanian golden frog","N/A","Amphibians","Endangered","N/A","Wherever found"
"Athearnia anthonyi","Anthony's riversnail","N/A","Snails","Endangered","N/A","Wherever found; Except where listed as Experimental Populations"
"Athearnia anthonyi","Anthony's riversnail","N/A","Snails","Experimental Population Non-Essential","17.85(a)","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos. see 17.85(a))"
"Athearnia anthonyi","Anthony's riversnail","N/A","Snails","Experimental Population Non-Essential","N/A","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Atrichornis clamosus","Noisy scrub-bird","N/A","Birds","Endangered","N/A","Wherever found"
"Avahi laniger (entire genus)","Avahi","N/A","Mammals","Endangered","N/A","Wherever found"
"Axis porcinus annamiticus","Indochina hog deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Axis porcinus calamianensis","Calamianes (=Philippine) deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Axis porcinus kuhli","Kuhl's (=Bawean) deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Aythya innotata","Madagascar pochard","N/A","Birds","Endangered","N/A","Wherever found"
"Babyrousa babyrussa","Babirusa","N/A","Mammals","Endangered","N/A","Wherever found"
"Balaena mysticetus","Bowhead whale","N/A","Mammals","Endangered","N/A","Wherever found"
"Balaenoptera borealis","Sei whale","N/A","Mammals","Endangered","N/A","Wherever found"
"Balaenoptera musculus","Blue whale","N/A","Mammals","Endangered","N/A","Wherever found"
"Balaenoptera physalus","Finback whale","N/A","Mammals","Endangered","N/A","Wherever found"
"Batagur baska","River terrapin","N/A","Reptiles","Endangered","N/A","Wherever found"
"Batrachoseps aridus","Desert slender salamander","N/A","Amphibians","Endangered","N/A","Wherever found"
"Batrisodes texanus","Coffin Cave mold beetle","N/A","Insects","Endangered","N/A","Wherever found"
"Batrisodes venyivi","Helotes mold beetle","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Bebrornis rodericanus","Rodrigues warbler (old world warbler)","N/A","Birds","Endangered","N/A","Wherever found"
"Bebrornis sechellensis","Seychelles warbler (old world warbler)","N/A","Birds","Endangered","N/A","Wherever found"
"Bettongia gaimardi","Gaimard's rat-kangaroo","N/A","Mammals","Endangered","N/A","Wherever found"
"Bettongia lesueur","Lesueur's rat-kangaroo","N/A","Mammals","Endangered","N/A","Wherever found"
"Bettongia penicillata","Brush-tailed rat-kangaroo","N/A","Mammals","Endangered","N/A","Wherever found"
"Bettongia tropica","Queensland rat-kangaroo","N/A","Mammals","Endangered","N/A","Wherever found"
"Bison bison athabascae","Wood Bison","N/A","Mammals","Threatened","N/A","Wherever found"
"Blastocerus dichotomus","Marsh deer","N/A","Mammals","Endangered","N/A","Wherever found"
"Boloria acrocnema","Uncompahgre fritillary butterfly","N/A","Insects","Endangered","N/A","Wherever found"
"Bolyeria multocarinata","Round Island bolyeria boa","N/A","Reptiles","Endangered","N/A","Wherever found"
"Bombus affinis","Rusty patched bumble bee","N/A","Insects","Endangered","N/A","Wherever found"
"Bos gaurus","Seledang","N/A","Mammals","Endangered","N/A","Wherever found"
"Bos javanicus","Banteng","N/A","Mammals","Endangered","N/A","Wherever found"
"Bos mutus (=grunniens m.)","Wild yak","N/A","Mammals","Endangered","N/A","Wherever found"
"Bos sauveli","Kouprey","N/A","Mammals","Endangered","N/A","Wherever found"
"Brachylagus idahoensis","Columbia Basin Pygmy Rabbit","N/A","Mammals","Endangered","N/A","U.S.A. (WA-Douglas Grant Lincoln Adams Benton Counties)"
"Brachylophus fasciatus","Fiji banded iguana","N/A","Reptiles","Endangered","N/A","Wherever found"
"Brachylophus vitiensis","Fiji crested iguana","N/A","Reptiles","Endangered","N/A","Wherever found"
"Brachyramphus marmoratus","Marbled murrelet","17.95(b)","Birds","Threatened","N/A","U.S.A. (CA OR WA)"
"Brachyteles arachnoides","Woolly spider monkey","N/A","Mammals","Endangered","N/A","Wherever found"
"Bradypus torquatus","Brazilian three-toed sloth","N/A","Mammals","Endangered","N/A","Wherever found"
"Branchinecta conservatio","Conservancy fairy shrimp","17.95(h)","Crustaceans","Endangered","N/A","Wherever found"
"Branchinecta longiantenna","Longhorn fairy shrimp","17.95(h)","Crustaceans","Endangered","N/A","Wherever found"
"Branchinecta lynchi","Vernal pool fairy shrimp","17.95(h)","Crustaceans","Threatened","N/A","Wherever found"
"Branchinecta sandiegonensis","San Diego fairy shrimp","17.95(h)","Crustaceans","Endangered","N/A","Wherever found"
"Branta (=Nesochen) sandvicensis","Hawaiian goose","N/A","Birds","Endangered","N/A","Wherever found"
"Brychius hungerfordi","Hungerford's crawling water Beetle","N/A","Insects","Endangered","N/A","Wherever found"
"Bubalus depressicornis","Lowland anoa","N/A","Mammals","Endangered","N/A","Wherever found"
"Bubalus mindorensis","Tamaraw","N/A","Mammals","Endangered","N/A","Wherever found"
"Bubalus quarlesi","Mountain anoa","N/A","Mammals","Endangered","N/A","Wherever found"
"Buceros (=Rhinoplax) vigil","Helmeted hornbill","N/A","Birds","Endangered","N/A","Wherever found"
"Bufo hemiophrys baxteri","Wyoming Toad","N/A","Amphibians","Endangered","N/A","Wherever found"
"Bufo houstonensis","Houston toad","17.95(d)","Amphibians","Endangered","N/A","Wherever found"
"Bufo periglenes","Monte Verde golden toad","N/A","Amphibians","Endangered","N/A","Wherever found"
"Bufo superciliaris","Cameroon toad","N/A","Amphibians","Endangered","N/A","Wherever found"
"Burramys parvus","Mountain pygmy possum","N/A","Mammals","Endangered","N/A","Wherever found"
"Buteo galapagoensis","Galapagos hawk","N/A","Birds","Endangered","N/A","Wherever found"
"Buteo platypterus brunnescens","Puerto Rican broad-winged hawk","N/A","Birds","Endangered","N/A","Wherever found"
"Buteo solitarius","Hawaiian (='lo) Hawk","N/A","Birds","Endangered","N/A","Wherever found"
"Cacajao spp.","Uakari (all species)","N/A","Mammals","Endangered","N/A","Wherever found"
"Cacatua alba","White cockatoo","N/A","Birds","Threatened","17.41(c)","Wherever found"
"Cacatua haematuropygia","Philippine cockatoo","N/A","Birds","Endangered","N/A","Wherever found"
"Cacatua moluccensis","Salmon-crested cockatoo","N/A","Birds","Threatened","17.41(c)","Wherever found"
"Cacatua sulphurea","Yellow-crested cockatoo","N/A","Birds","Endangered","N/A","Wherever found"
"Caiman crocodilus apaporiensis","Apaporis River caiman","N/A","Reptiles","Endangered","N/A","Wherever found"
"Caiman crocodilus crocodilus","Common caiman","N/A","Reptiles","Similarity of Appearance to a Threatened Taxon","17.42(g)","Wherever found"
"Caiman crocodilus fuscus (includes Caiman crocodilus chiapasius)","Brown Caiman","N/A","Reptiles","Similarity of Appearance to a Threatened Taxon","17.42(g)","Wherever found"
"Caiman latirostris","Broad-snouted caiman","N/A","Reptiles","Endangered","N/A","Bolivia Brazil Paraguay and Uruguay"
"Caiman latirostris","Broad-snouted caiman","N/A","Reptiles","Threatened","N/A","Argentina DPS"
"Caiman yacare","Yacare Caiman","N/A","Reptiles","Threatened","17.42(g)","Wherever found"
"Cairina scutulata","White-winged wood duck","N/A","Birds","Endangered","N/A","Wherever found"
"Calidris canutus rufa","Red knot","N/A","Birds","Threatened","N/A","Wherever found"
"Callaeas cinerea","Kokako (wattlebird)","N/A","Birds","Endangered","N/A","Wherever found"
"Callimico goeldii","Goeldi's marmoset","N/A","Mammals","Endangered","N/A","Wherever found"
"Callithrix aurita (=jacchus a.)","White-eared (=buffy tufted-ear) marmoset","N/A","Mammals","Endangered","N/A","Wherever found"
"Callithrix flaviceps","Buff-headed marmoset","N/A","Mammals","Endangered","N/A","Wherever found"
"Callophrys mossii bayensis","San Bruno elfin butterfly","N/A","Insects","Endangered","N/A","Wherever found"
"Caloprymnus campestris","Desert (=plain) rat-kangaroo","N/A","Mammals","Endangered","N/A","Wherever found"
"Camarhynchus pauper","Floreana tree-Finch","N/A","Birds","Endangered","N/A","Wherever found"
"Cambarus aculabrum","Cave crayfish","N/A","Crustaceans","Endangered","N/A","Wherever found"
"Cambarus callainus","Big Sandy crayfish","N/A","Crustaceans","Threatened","N/A","Wherever found"
"Cambarus veteranus","Guyandotte River crayfish","N/A","Crustaceans","Endangered","N/A","Wherever found"
"Cambarus zophonastes","Cave crayfish","N/A","Crustaceans","Endangered","N/A","Wherever found"
"Camelus bactrianus","Bactrian camel","N/A","Mammals","Endangered","N/A","Wherever found"
"Campeloma decampi","Slender campeloma","N/A","Snails","Endangered","N/A","Wherever found"
"Campephilus imperialis","Imperial woodpecker","N/A","Birds","Endangered","N/A","Wherever found"
"Campephilus principalis","Ivory-billed woodpecker","N/A","Birds","Endangered","N/A","Wherever found"
"Canis lupus","Gray wolf","17.95(a)","Mammals","Endangered","null","U.S.A.: All of AL AR CA CO CT DE FL GA IA IN IL KS KY LA MA MD ME MI MO MS NC ND NE NH NJ NV NY OH OK PA RI SC SD TN TX VA VT WI and WV; and portions of AZ NM OR UT and WA as follows: (1) Northern AZ (that portion north of the centerline of Interstate Highway 40); (2) Northern NM (that portion north of the centerline of Interstate Highway 40); (3) Western OR (that portion of OR west of the centerline of Highway 395 and Highway 78 north of Burns Junction and that portion of OR west of the centerline of Highway 95 south of Burns Junction); (4) Most of Utah (that portion of UT south and west of the centerline of Highway 84 and that portion of UT south of Highway 80 from Echo to the UT/WY Stateline); and (5) Western WA (that portion of WA west of the centerline of Highway 97 and Highway 17 north of Mesa and that portion of WA west of the centerline of Highway 395 south of Mesa). Mexico."
"Canis lupus","Gray wolf","N/A","Mammals","Threatened","17.40(d)","U.S.A. (MN)"
"Canis lupus baileyi","Mexican wolf","N/A","Mammals","Endangered","N/A","Wherever found except where included in an experimental population as set forth in 17.84(k)"
"Canis lupus baileyi","Mexican wolf","N/A","Mammals","Experimental Population Non-Essential","17.84(k)","U.S.A. (portions of AZ and NM)see 17.84(k)"
"Canis rufus","Red wolf","N/A","Mammals","Endangered","N/A","Wherever found except where listed as an experimental population"
"Canis rufus","Red wolf","N/A","Mammals","Experimental Population Non-Essential","17.84(c)","U.S.A. (portions of NC and TN see  17.84(c)(9))"
"Canis simensis","Simien fox","N/A","Mammals","Endangered","N/A","Wherever found"
"Cantharellus noumeae","No common name","N/A","Corals","Endangered","N/A","Entire"
"Capra falconeri (=aegragrus) chiltanensis","Chiltan (=wild goat) markhor","N/A","Mammals","Endangered","N/A","Wherever found"
"Capra falconeri megaceros","Straight-horned markhor","N/A","Mammals","Threatened","17.40(n)","Wherever found"
"Capra pyrenaica pyrenaica","Pyrenean ibex","N/A","Mammals","Endangered","N/A","Wherever found"
"Capra walie","Walia ibex","N/A","Mammals","Endangered","N/A","Wherever found"
"Caprimulgus noctitherus","Puerto Rican nightjar","N/A","Birds","Endangered","N/A","Wherever found"
"Caprolagus hispidus","Hispid hare","N/A","Mammals","Endangered","N/A","Wherever found"
"Capromys angelcabrerai","Cabrera's hutia","N/A","Mammals","Endangered","N/A","Wherever found"
"Capromys auritus","Large-eared hutia","N/A","Mammals","Endangered","N/A","Wherever found"
"Capromys nana","Dwarf hutia","N/A","Mammals","Endangered","N/A","Wherever found"
"Capromys sanfelipensis","Little earth hutia","N/A","Mammals","Endangered","N/A","Wherever found"
"Carduelis cucullata","Red siskin","N/A","Birds","Endangered","N/A","Wherever found"
"Caretta caretta","Loggerhead sea turtle","17.95(c)","Reptiles","Threatened","N/A","Northwest Atlantic Ocean DPS - Loggerhead sea turtles originating from the Northwest Atlantic Ocean west of 40 degrees W. Long"
"Caretta caretta","Loggerhead sea turtle","N/A","Reptiles","Endangered","N/A","Loggerhead sea turtles originating from the South Pacific south of the equator north of 60 degrees S. Lat. west of 67 degrees W. Long. and east of 141 degrees E. Long."
"Caretta caretta","Loggerhead sea turtle","N/A","Reptiles","Endangered","N/A","Mediterranean Sea DPS - Loggerhead sea turtles originating from the Mediterranean Sea east of 5 degrees 36 minues W. Long."
"Caretta caretta","Loggerhead sea turtle","N/A","Reptiles","Endangered","N/A","Northeast Atlantic Ocean DPS - Loggerhead sea turtles originating from the Northeast Atlantic Ocean north of the equator south of 60 degrees N. Lat. and east of 40 degrees W. Long. except in the vicinity of the Strait of Gibraltar where the eastern boundary is 5 degrees 36 minutes W. Long"
"Caretta caretta","Loggerhead sea turtle","N/A","Reptiles","Endangered","N/A","North Indian Ocean DPS - Loggerhead sea turtles originating from the North Indian Ocean north of the equator and south of 30? N. Lat"
"Caretta caretta","Loggerhead sea turtle","N/A","Reptiles","Endangered","N/A","North Pacific Ocean DPS - Loggerhead sea turtles originating from the North Pacific north of the equator and south of 60 degrees N. Lat"
"Caretta caretta","Loggerhead sea turtle","N/A","Reptiles","Threatened","N/A","Loggerhead sea turtles originating from the South Atlantic Ocean south of the equator north of 60 degrees S. Lat. west of 20 degrees E. Long. and east of 67 degrees W. Long"
"Caretta caretta","Loggerhead sea turtle","N/A","Reptiles","Threatened","N/A","Loggerhead sea turtles originating from the Southeast Indian Ocean south of the equator north of 60 degrees S. Lat. and east of 80 degrees E. Long.; South Pacific Ocean south of the equator north of 60degrees S. Lat. and west of 141 degrees E. Long"
"Caretta caretta","Loggerhead sea turtle","N/A","Reptiles","Threatened","N/A","Loggerhead sea turtles originating from the Southwest Indian Ocean north of the equator south of 30 degrees N. Lat. east of 20 degrees E. Long. and west of 80 degrees E. Long."
"Casarea dussumieri","Round Island casarea boa","N/A","Reptiles","Endangered","N/A","Wherever found"
"Castor fiber birulai","Beaver (Mongolian)","N/A","Mammals","Endangered","N/A","Wherever found"
"Catopuma (=Felis) temminckii","Asian golden (=Temmnick's) cat","N/A","Mammals","Endangered","N/A","Wherever found"
"Catostomus discobolus yarrowi","Zuni bluehead Sucker","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Catostomus santaanae","Santa Ana sucker","17.95(e)","Fishes","Threatened","N/A","Los Angeles River basin San Gabriel River basin Santa Ana River basin"
"Catostomus warnerensis","Warner sucker","17.95(e)","Fishes","Threatened","17.44(l)","Wherever found"
"Catreus wallichii","Cheer pheasant","N/A","Birds","Endangered","N/A","Wherever found"
"Centrocercus minimus","Gunnison sage-grouse","17.95(b)","Birds","Threatened","N/A","Wherever found"
"Cephalophus jentinki","Jentink's duiker","N/A","Mammals","Endangered","N/A","Wherever found"
"Cephalorhynchus hectori hectori","South Island Hector's dolphin","N/A","Mammals","Threatened","N/A","Entire"
"Cephalorhynchus hectori maui","Maui dolphin","N/A","Mammals","Endangered","N/A","Entire"
"Ceratotherium simum cottoni","Northern white rhinoceros","N/A","Mammals","Endangered","N/A","Zaire Uganda Sudan Central African Republic"
"Ceratotherium simum ssp. simum","Southern white rhinoceros","N/A","Mammals","Similarity of Appearance to a Threatened Taxon","N/A","Wherever found"
"Cercocebus galeritus galeritus","Tana River mangabey","N/A","Mammals","Endangered","N/A","Wherever found"
"Cercocebus torquatus","White-collared mangabey","N/A","Mammals","Endangered","N/A","Wherever found"
"Cercopithecus diana","Diana monkey","N/A","Mammals","Endangered","N/A","Wherever found"
"Cercopithecus erythrogaster","Red-bellied monkey","N/A","Mammals","Endangered","N/A","Wherever found"
"Cercopithecus erythrotis","Red-eared nose-spotted monkey","N/A","Mammals","Endangered","N/A","Wherever found"
