Habitat,Sample,Species,ARC,BH,CAR,CB,CHI,CKB,COL,HAW,HBC,MOL,MOO,OB,PEA,PK,QP,RP,SKP,SNA,SPR,SW,TPB,WIN
Forest,LateSeason,lasfla,,,,,,,,,,,,,,,,,,,,,,
Forest,LateSeason,lasneo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,LateSeason,lasspe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Forest,LateSeason,lasumb,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
Forest,LateSeason,myrame1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,LateSeason,myrdet,0,0,5,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0
Forest,LateSeason,myrlob,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
Forest,LateSeason,myrpun,0,0,0,19,0,5,24,0,14,0,0,0,0,4,1,21,2,1,0,5,0,0
Forest,LateSeason,myrscu,0,2,0,1,0,2,0,0,3,0,0,0,0,0,9,7,2,0,0,3,0,0
Forest,LateSeason,myrsmi,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,9,0,0,0,1,0,0
Forest,LateSeason,preimp,,,,,,,,,,,,,,,,,,,,,,
Forest,LateSeason,stebre,,,,,,,,,,,,,,,,,,,,,,
Forest,LateSeason,stedie,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Forest,LateSeason,steimp,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,LateSeason,stesch,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Forest,LateSeason,tapses,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Forest,LateSeason,temamb,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,LateSeason,temcur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
Forest,LateSeason,temlon,0,1,0,1,0,0,7,0,0,0,0,0,0,1,0,1,1,0,5,0,0,0
