age,areaClassification,degree,experience,gender,qualityRatingFirstAbstract,qualityRatingSecondAbstract,condition,ratingAdvantageOfManipulatedAbstractOverTheOther,notOutlier
25,M,Doctor's,1,M,70,75,1,-5,1
25,MST,Master's,1,M,75,80,2,5,1
25,O,Master's,1,M,70,60,2,-10,1
25,O,Master's,1,M,90,50,1,40,1
25,HS,Master's,2,M,68,75,2,7,1
25,HS,Master's,2,F,65,45,1,20,1
25,HS,Master's,2,M,75,70,1,5,1
25,MST,Master's,1,M,66,75,2,9,1
25,MST,Master's,2,F,80,70,2,-10,1
26,HS,Master's,2,F,85,40,1,45,1
26,MST,Master's,1,F,70,65,1,5,1
26,M,Master's,2,F,75,85,2,10,1
26,MST,Master's,0,F,80,90,2,10,1
26,MST,Master's,1,M,75,80,1,-5,1
26,MST,Master's,1,M,80,50,1,30,1
26,O,Master's,1,M,80,30,1,50,1
26,O,Master's,0,F,78,73,1,5,1
26,HS,Master's,2,F,75,60,2,-15,1
26,HS,Master's,2,F,85,85,2,0,1
26,HS,Master's,2,F,80,85,2,5,1
26,MST,Master's,0,M,65,70,2,5,1
26,MST,Master's,0,F,70,60,2,-10,1
26,MST,Master's,1,F,70,60,1,10,1
26,MST,Master's,1,F,75,60,1,15,1
27,HS,Master's,2,F,85,90,1,-5,1
27,MST,Master's,0,M,48,60,1,-12,1
27,MST,Master's,2,M,60,45,1,15,1
27,MST,Master's,1,F,55,65,1,-10,1
27,O,Master's,1,F,80,90,1,-10,1
27,O,Master's,1,F,69,70,1,-1,1
27,O,Doctor's,1,F,85,45,1,40,1
27,HS,Master's,0,M,90,95,1,-5,1
27,HS,Doctor's,2,F,75,80,1,-5,1
27,HS,Master's,1,F,85,75,1,10,1
27,MST,Master's,1,M,55,65,1,-10,1
27,MST,Master's,1,M,70,90,1,-20,1
28,HS,Master's,1,F,85,90,2,5,1
28,HS,Master's,1,M,75,70,2,-5,1
28,M,Doctor's,2,F,80,90,2,10,1
28,O,Master's,1,M,76,61,2,-15,1
28,O,Master's,1,M,80,75,2,-5,1
28,O,Master's,0,M,25,42,2,17,1
28,O,Doctor's,0,F,84,84,1,0,1
28,HS,Master's,2,M,60,60,2,0,1
28,HS,Master's,2,F,40,50,1,-10,1
28,MST,Master's,1,M,60,55,2,-5,1
28,MST,Master's,1,M,30,55,1,-25,1
29,HS,Master's,2,F,50,100,2,50,1
29,HS,Master's,1,F,80,80,2,0,1
29,HS,Master's,1,M,0,50,2,50,1
29,HS,Master's,1,F,80,50,2,-30,1
29,HS,Master's,2,F,80,70,1,10,1
29,HS,Master's,1,F,70,60,1,10,1
29,MST,Master's,1,M,75,90,2,15,1
29,M,Master's,0,M,70,70,2,0,1
29,HS,Master's,1,M,0,49,2,49,1
29,HS,Master's,2,F,90,80,2,-10,1
29,HS,Doctor's,2,F,7,7,2,0,1
29,MST,Master's,1,M,75,63,2,-12,1
29,MST,Master's,1,M,22,52,2,30,1
29,MST,Master's,1,M,0,85,1,-85,0
29,MST,Master's,1,M,90,90,1,0,1
30,HS,Master's,0,M,70,15,2,-55,1
30,HS,Master's,2,M,85,85,1,0,1
30,HS,Master's,2,F,85,95,1,-10,1
30,HS,Master's,0,M,51,40,1,11,1
30,MST,Master's,1,F,45,60,2,15,1
30,MST,Master's,1,F,65,80,1,-15,1
30,O,Master's,1,F,95,95,2,0,1
30,O,Master's,1,F,75,95,1,-20,1
30,HS,Master's,1,F,80,50,1,30,1
30,HS,Doctor's,2,F,70,90,1,-20,1
30,MST,Master's,1,M,70,65,1,5,1
30,MST,Master's,1,M,35,50,1,-15,1
31,HS,Master's,1,M,85,90,2,5,1
31,HS,Doctor's,2,M,75,70,1,5,1
31,O,Master's,2,M,90,87,1,3,1
31,HS,Doctor's,2,F,60,45,2,-15,1
31,HS,Master's,2,M,90,60,1,30,1
31,MST,Master's,1,M,50,50,2,0,1
31,MST,Master's,1,M,75,50,2,-25,1
32,HS,Master's,2,F,90,25,1,65,1
32,MST,Master's,1,M,75,80,1,-5,1
32,M,Master's,1,M,45,67,1,-22,1
32,MST,Doctor's,2,M,75,60,2,-15,1
32,MST,Doctor's,2,M,69,40,1,29,1
32,HS,Doctor's,2,M,75,90,2,15,1
32,HS,Master's,2,M,65,90,2,25,1
32,MST,Master's,1,M,65,80,2,15,1
32,MST,Master's,0,M,70,83,2,13,1
32,MST,Master's,1,M,80,70,1,10,1
32,MST,Master's,1,M,80,80,1,0,1
33,MST,Master's,2,M,80,20,2,-60,1
33,O,Master's,1,M,80,85,2,5,1
33,O,Master's,2,F,80,50,1,30,1
33,O,Master's,1,M,80,68,1,12,1
33,HS,Master's,1,M,80,90,2,10,1
34,HS,Doctor's,2,M,75,80,2,5,1
34,HS,Master's,1,F,56,95,1,-39,1
34,HS,Master's,1,M,80,80,1,0,1
34,MST,Master's,1,M,70,60,1,10,1
34,O,Doctor's,1,M,65,85,2,20,1
35,HS,Master's,2,M,65,85,2,20,1
35,HS,Master's,1,F,70,80,2,10,1
35,HS,Master's,1,M,98,50,1,48,1
35,HS,Master's,2,F,75,80,1,-5,1
35,HS,Master's,2,M,80,85,1,-5,1
35,MST,Master's,2,M,80,80,2,0,1
35,O,Master's,2,M,60,85,2,25,1
35,O,Master's,1,M,50,50,1,0,1
35,HS,Master's,2,F,65,80,2,15,1
35,HS,Master's,2,F,65,70,1,-5,1
36,HS,Master's,1,F,80,95,2,15,1
36,HS,Master's,2,M,80,90,1,-10,1
36,MST,Master's,1,F,49,60,1,-11,1
36,O,Master's,1,F,80,90,2,10,1
37,MST,Doctor's,2,M,65,40,1,25,1
37,MST,Master's,2,M,75,65,1,10,1
38,MST,Master's,1,M,17,19,1,-2,1
38,MST,Master's,1,M,75,80,2,5,1
38,MST,Master's,2,M,63,40,1,23,1
38,MST,Master's,1,M,70,80,1,-10,1
39,O,Master's,2,M,0,85,2,85,0
40,MST,Master's,1,F,73,50,2,-23,1
40,M,Master's,2,M,80,65,1,15,1
40,MST,Master's,0,M,25,70,2,45,1
40,MST,Master's,1,M,90,70,1,20,1
41,O,Master's,1,F,40,5,1,35,1
41,HS,Master's,1,F,70,95,2,25,1
41,HS,Master's,1,F,75,50,1,25,1
42,MST,Master's,2,F,80,95,1,-15,1
42,O,Master's,1,F,80,80,2,0,1
42,MST,Master's,0,F,65,70,2,5,1
42,MST,Master's,0,F,65,75,1,-10,1
44,HS,Master's,1,F,20,65,2,45,1
44,M,Master's,2,F,75,90,2,15,1
44,MST,Master's,2,F,70,70,1,0,1
44,O,Master's,2,F,90,30,1,60,1
45,HS,Master's,2,F,90,30,1,60,1
45,HS,Master's,1,F,75,80,2,5,1
46,HS,Master's,1,M,90,100,2,10,1
46,O,Master's,2,M,80,80,2,0,1
47,M,Master's,1,F,75,90,2,15,1
47,O,Master's,1,F,65,85,2,20,1
49,O,Master's,1,M,90,95,1,-5,1
50,MST,Master's,1,F,65,75,2,10,1
50,MST,Master's,1,F,75,80,1,-5,1
50,HS,Master's,0,M,50,63,1,-13,1
51,MST,Doctor's,1,M,40,50,2,10,1
53,MST,Master's,2,M,80,90,2,10,1
53,MST,Master's,2,M,80,85,1,-5,1
53,O,Master's,1,M,85,75,1,10,1
53,HS,Master's,2,F,60,80,2,20,1
60,HS,Master's,2,F,80,75,2,-5,1
62,HS,Doctor's,2,M,90,80,2,-10,1
65,HS,Doctor's,0,F,60,30,2,-30,1
66,HS,Master's,1,F,80,75,2,-5,1
69,HS,Master's,2,M,50,70,1,-20,1
