StartDate,EndDate,Block,Treatment,Plot,Replicate,SamplingMethod,Family,Genus,Species,Males,Females,Immature
20080922,20081002,Valley,Girdled,1,1,Litter_sifting,HAHNIIDAE,Neoantistea,magna,0,1,0
20080922,20081002,Valley,Girdled,1,1,Litter_sifting,LINYPHIIDAE,Ceratinella,brunnea,2,2,0
20080922,20081002,Valley,Girdled,1,1,Litter_sifting,LINYPHIIDAE,Tapinocyba,minuta,2,2,0
20080922,20081002,Valley,Girdled,1,1,Litter_sifting,LINYPHIIDAE,Ceratinops,annulipes,0,1,0
20080922,20081002,Valley,Girdled,1,1,Litter_sifting,SALTICIDAE,immSalt,sp.,0,0,5
20080922,20081002,Valley,Girdled,1,1,Litter_sifting,AGELENIDAE,immAgel,sp.,0,0,1
20080922,20081002,Valley,Girdled,1,2,Litter_sifting,AMAUROBIIDAE,immAmau,sp.,0,0,25
20080922,20081002,Valley,Girdled,1,3,Litter_sifting,LINYPHIIDAE,immLiny,sp.,0,0,21
20080519,20080529,Valley,Girdled,1,3,Litter_sifting,AMAUROBIIDAE,immAmau,sp.,0,0,2
20080922,20081002,Valley,Girdled,1,3,Litter_sifting,HAHNIIDAE,Hahnia,cinerea,1,0,0
20080922,20081002,Valley,Girdled,1,3,Litter_sifting,LYCOSIDAE,Pirata,montanus,1,0,0
20080922,20081002,Valley,Girdled,1,3,Litter_sifting,ARANEIDAE,immAran,sp.,0,0,1
20080922,20081002,Valley,Girdled,1,3,Litter_sifting,SALTICIDAE,immSalt,sp.,0,0,10
20080922,20081002,Valley,Girdled,1,3,Litter_sifting,LINYPHIIDAE,Tenuiphantes,zebra,1,0,0
20080922,20081002,Valley,Girdled,1,3,Litter_sifting,AMAUROBIIDAE,immAmau,sp.,0,0,20
20080922,20081002,Valley,Girdled,1,3,Litter_sifting,LINYPHIIDAE,Eperigone,brevidentata,0,1,0
20080922,20081002,Valley,Girdled,1,3,Litter_sifting,UNKNOWN,immUnkn,sp.,0,0,5
20080922,20081002,Valley,Girdled,1,5,Litter_sifting,LINYPHIIDAE,Ceratinella,brunnea,0,4,0
20080922,20081002,Valley,Girdled,1,5,Litter_sifting,LINYPHIIDAE,Ceraticelus,laetabilis,0,1,0
20080922,20081002,Valley,Girdled,1,5,Litter_sifting,LINYPHIIDAE,Walckenaeria,pallida,1,1,0
20080922,20081002,Valley,Girdled,1,5,Litter_sifting,LINYPHIIDAE,Walckenaeria,minuta,1,0,0
20080922,20081002,Valley,Girdled,1,5,Litter_sifting,LINYPHIIDAE,Sisicus,penifusifer,1,1,0
20080922,20081002,Valley,Girdled,1,3,Litter_sifting,CORINNIDAE,immCori,sp.,0,0,3
20080922,20081002,Valley,Girdled,1,4,Litter_sifting,LINYPHIIDAE,immLiny,sp.,0,0,2
20080519,20080529,Valley,Girdled,1,3,Litter_sifting,LINYPHIIDAE,immLiny,sp.,0,0,23
20080922,20081002,Valley,Girdled,1,4,Litter_sifting,DICTYNIDAE,Cicurina,arcuata,0,1,0
20080922,20081002,Valley,Girdled,1,4,Litter_sifting,LINYPHIIDAE,Sisicus,penifusifer,1,0,0
20080922,20081002,Valley,Girdled,1,4,Litter_sifting,LINYPHIIDAE,Tenuiphantes,zebra,1,0,0
20080922,20081002,Valley,Girdled,1,4,Litter_sifting,CORINNIDAE,immCori,sp.,0,0,1
20080922,20081002,Valley,Girdled,1,3,Litter_sifting,LINYPHIIDAE,Microneta,viaria,1,0,0
20080922,20081002,Valley,Girdled,1,4,Litter_sifting,AMAUROBIIDAE,immAmau,sp.,0,0,3
20080922,20081002,Valley,Girdled,1,2,Litter_sifting,AMAUROBIIDAE,Amaurobius,borealis,0,2,0
20080922,20081002,Valley,Girdled,1,4,Litter_sifting,SALTICIDAE,immSalt,sp.,0,0,1
20080922,20081002,Valley,Girdled,1,3,Litter_sifting,HAHNIIDAE,Neoantistea,magna,0,1,0
20080922,20081002,Valley,Girdled,1,3,Litter_sifting,AMAUROBIIDAE,Amaurobius,borealis,0,1,0
20080922,20081002,Valley,Girdled,1,3,Litter_sifting,LINYPHIIDAE,Ceratinella,brunnea,2,3,0
20080922,20081002,Valley,Girdled,1,3,Litter_sifting,LINYPHIIDAE,Ceraticelus,laetabilis,2,2,0
20080922,20081002,Valley,Girdled,1,3,Litter_sifting,LINYPHIIDAE,Tapinocyba,simplex,0,1,0
20080922,20081002,Valley,Girdled,1,4,Litter_sifting,LYCOSIDAE,immLyco,sp.,0,0,1
20080519,20080529,Valley,Girdled,1,2,Litter_sifting,GNAPHOSIDAE,Zelotes,fratris,1,0,0
20080922,20081002,Valley,Girdled,1,2,Litter_sifting,DICTYNIDAE,Cicurina,brevis,1,0,0
20080718,20080728,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,LinyToID,ms_bracket_(species5),0,1,0
20080718,20080728,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,Eperigone,brevidentata,1,2,0
20080519,20080529,Valley,Girdled,1,2,Litter_sifting,AMAUROBIIDAE,immAmau,sp.,0,0,2
20080519,20080529,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,immLiny,sp.,0,0,13
20080718,20080728,Valley,Girdled,1,2,Litter_sifting,LYCOSIDAE,immLyco,sp.,0,0,2
20080519,20080529,Valley,Girdled,1,2,Litter_sifting,HAHNIDAE,immHahn,sp.,0,0,2
20080718,20080728,Valley,Girdled,1,2,Litter_sifting,AGELENIDAE,immAgel,sp.,0,0,2
20080519,20080529,Valley,Girdled,1,2,Litter_sifting,CORINNIDAE,Phrurotimpus,borealis,1,0,0
20080519,20080529,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,Tapinocyba,minuta,1,0,0
20080519,20080529,Valley,Girdled,1,2,Litter_sifting,SALTICIDAE,Neon,nelli,0,1,0
20080519,20080529,Valley,Girdled,1,2,Litter_sifting,THERIDIIDAE,Pholcomma,hirsutum,0,1,0
20080519,20080529,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,Ceraticelus,minutus,0,1,0
20080519,20080529,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,Ceraticelus,laetabilis,1,1,0
20080519,20080529,Valley,Girdled,1,2,Litter_sifting,CORINNIDAE,immCori,sp.,0,0,4
20080922,20081002,Valley,Girdled,1,5,Pitfall,LINYPHIIDAE,Eperigone,maculata,0,1,0
20080922,20081002,Valley,Girdled,1,1,Pitfall,HAHNIIDAE,Neoantistea,magna,1,0,0
20080922,20081002,Valley,Girdled,1,1,Pitfall,AMAUROBIIDAE,Wadotes,hybridus,1,0,0
20080922,20081002,Valley,Girdled,1,3,Pitfall,HAHNIIDAE,Neoantistea,magna,1,0,0
20080922,20081002,Valley,Girdled,1,3,Pitfall,AMAUROBIIDAE,Wadotes,hybridus,1,0,0
20080922,20081002,Valley,Girdled,1,2,Pitfall,LYCOSIDAE,immLyco,sp.,0,0,1
20080718,20080728,Valley,Girdled,1,2,Litter_sifting,CORINNIDAE,immCori,sp.,0,0,2
20080922,20081002,Valley,Girdled,1,5,Pitfall,DICTYNIDAE,immDict,sp.,0,0,1
20080718,20080728,Valley,Girdled,1,2,Litter_sifting,CORINNIDAE,Phrurotimpus,borealis,0,1,0
20080718,20080728,Valley,Girdled,1,2,Litter_sifting,UNKNOWN,immUnkn,sp.,0,0,4
20080718,20080728,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,immLiny,sp.,0,0,13
20080718,20080728,Valley,Girdled,1,2,Litter_sifting,HAHNIDAE,immHahn,sp.,0,0,1
20080718,20080728,Valley,Girdled,1,2,Litter_sifting,LIOCRANIDAE,immLioc,sp.,0,0,1
20080718,20080728,Valley,Girdled,1,2,Litter_sifting,GNAPHOSIDAE,immGnap,sp.,0,0,3
20080718,20080728,Valley,Girdled,1,2,Litter_sifting,AMAUROBIIDAE,immAmau,sp.,0,0,13
20080922,20081002,Valley,Girdled,1,2,Pitfall,AMAUROBIIDAE,Wadotes,hybridus,2,0,0
20080718,20080728,Valley,Girdled,1,4,Litter_sifting,LINYPHIIDAE,Ceratinella,brunnea,0,2,0
20080718,20080728,Valley,Girdled,1,3,Litter_sifting,LYCOSIDAE,immLyco,sp.,0,0,1
20080718,20080728,Valley,Girdled,1,3,Litter_sifting,AMAUROBIIDAE,immAmau,sp.,0,0,8
20080718,20080728,Valley,Girdled,1,3,Litter_sifting,LINYPHIIDAE,Tapinocyba,minuta,1,9,0
20080718,20080728,Valley,Girdled,1,3,Litter_sifting,LINYPHIIDAE,Meioneta,simplex,0,2,0
20080718,20080728,Valley,Girdled,1,3,Litter_sifting,LINYPHIIDAE,Ceratinella,brunnea,0,3,0
20080718,20080728,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,Microneta,viaria,0,1,0
20080718,20080728,Valley,Girdled,1,4,Litter_sifting,LINYPHIIDAE,immLiny,sp.,0,0,4
20080519,20080529,Valley,Girdled,1,1,Pitfall,LIOCRANIDAE,Agroeca,ornata,1,0,0
20080922,20081002,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,Ceratinella,brunnea,10,12,0
20080922,20081002,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,Ceraticelus,laetabilis,0,2,0
20080922,20081002,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,Tapinocyba,minuta,1,1,0
20080922,20081002,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,Tapinocyba,simplex,0,1,0
20080922,20081002,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,Tenuiphantes,zebra,4,3,0
20080922,20081002,Valley,Girdled,1,1,Litter_sifting,LINYPHIIDAE,Eperigone,brevidentata,0,1,0
20080718,20080728,Valley,Girdled,1,4,Litter_sifting,AGELENIDAE,immAgel,sp.,0,0,4
20080519,20080529,Valley,Girdled,1,4,Pitfall,AMAUROBIIDAE,Wadotes,calcaratus,0,1,0
20080922,20081002,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,Ceraticelus,fissiceps,2,0,0
20080718,20080728,Valley,Girdled,1,2,Litter_sifting,AMAUROBIIDAE,Amaurobius,borealis,0,1,0
20080718,20080728,Valley,Girdled,1,2,Litter_sifting,SALTICIDAE,Neon,nelli,0,1,0
20080718,20080728,Valley,Girdled,1,1,Litter_sifting,LINYPHIIDAE,immLiny,sp.,0,0,4
20080718,20080728,Valley,Girdled,1,1,Litter_sifting,DICTYNIDAE,immDict,sp.,0,0,1
20080718,20080728,Valley,Girdled,1,1,Litter_sifting,AMAUROBIIDAE,immAmau,sp.,0,0,2
20080718,20080728,Valley,Girdled,1,3,Litter_sifting,LINYPHIIDAE,immLiny,sp.,0,0,13
20080718,20080728,Valley,Girdled,1,1,Litter_sifting,LINYPHIIDAE,Collinsia,oxypaederotipus,0,2,0
20080519,20080529,Valley,Girdled,1,1,Pitfall,LINYPHIIDAE,Walckenaeria,directa,1,0,0
20080519,20080529,Valley,Girdled,1,4,Pitfall,AMAUROBIIDAE,Amaurobius,borealis,5,0,0
20080519,20080529,Valley,Girdled,1,4,Pitfall,LINYPHIIDAE,Ceratinella,brunnea,1,1,0
20080519,20080529,Valley,Girdled,1,4,Pitfall,LINYPHIIDAE,Meioneta,simplex,5,0,0
20080519,20080529,Valley,Girdled,1,1,Pitfall,LYCOSIDAE,Pirata,montanus,4,0,0
20080519,20080529,Valley,Girdled,1,1,Pitfall,AMAUROBIIDAE,Amaurobius,borealis,1,0,0
20080718,20080728,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,Ceraticelus,laetabilis,1,1,0
20080718,20080728,Valley,Girdled,1,1,Litter_sifting,LINYPHIIDAE,Ceratinella,brunnea,0,1,0
20080519,20080529,Valley,Girdled,1,3,Pitfall,AMAUROBIIDAE,Amaurobius,borealis,4,0,0
20080519,20080529,Valley,Girdled,1,2,Pitfall,AMAUROBIIDAE,Amaurobius,borealis,4,0,0
20080519,20080529,Valley,Girdled,1,2,Pitfall,AMAUROBIIDAE,Callobius,bennetti,2,0,0
20080519,20080529,Valley,Girdled,1,4,Litter_sifting,LINYPHIIDAE,Meioneta,simplex,0,1,0
20080519,20080529,Valley,Girdled,1,4,Litter_sifting,LINYPHIIDAE,Tapinocyba,minuta,1,3,0
20080519,20080529,Valley,Girdled,1,3,Pitfall,LINYPHIIDAE,Tapinocyba,minuta,1,0,0
20080519,20080529,Valley,Girdled,1,3,Pitfall,LINYPHIIDAE,Meioneta,simplex,1,0,0
20080519,20080529,Valley,Girdled,1,1,Pitfall,LINYPHIIDAE,Ceraticelus,minutus,0,1,0
20080718,20080728,Valley,Girdled,1,5,Pitfall,HAHNIIDAE,Neoantistea,magna,1,0,0
20080718,20080728,Valley,Girdled,1,5,Pitfall,LINYPHIIDAE,immLiny,sp.,0,0,4
20080519,20080529,Valley,Girdled,1,3,Pitfall,LINYPHIIDAE,Pocadicnemis,americana,2,0,0
20080519,20080529,Valley,Girdled,1,3,Pitfall,DICTYNIDAE,Cicurina,brevis,0,1,0
20080519,20080529,Valley,Girdled,1,1,Litter_sifting,UNKNOWN,immUnkn,sp.,0,0,1
20080519,20080529,Valley,Girdled,1,3,Pitfall,HAHNIIDAE,Cryphoeca,montana,1,0,0
20080519,20080529,Valley,Girdled,1,2,Pitfall,LYCOSIDAE,Pirata,montanus,3,0,0
20080519,20080529,Valley,Girdled,1,3,Pitfall,LYCOSIDAE,Pardosa,xerampelina,2,0,0
20080519,20080529,Valley,Girdled,1,5,Litter_sifting,LYCOSIDAE,immLyco,sp.,0,0,2
20080519,20080529,Valley,Girdled,1,5,Litter_sifting,LINYPHIIDAE,Ceraticelus,minutus,1,0,0
20080519,20080529,Valley,Girdled,1,5,Litter_sifting,LINYPHIIDAE,Collinsia,oxypaederotipus,1,0,0
20080519,20080529,Valley,Girdled,1,5,Litter_sifting,LINYPHIIDAE,Tapinocyba,minuta,4,4,0
20080519,20080529,Valley,Girdled,1,5,Litter_sifting,SALTICIDAE,Neon,nelli,0,1,0
20080519,20080529,Valley,Girdled,1,1,Litter_sifting,AMAUROBIIDAE,Amaurobius,borealis,0,1,0
20080519,20080529,Valley,Girdled,1,1,Litter_sifting,LINYPHIIDAE,Ceraticelus,laetabilis,1,0,0
20080519,20080529,Valley,Girdled,1,1,Litter_sifting,LINYPHIIDAE,Ceratinella,brunnea,0,2,0
20080519,20080529,Valley,Girdled,1,1,Litter_sifting,LINYPHIIDAE,Collinsia,oxypaederotipus,1,0,0
20080519,20080529,Valley,Girdled,1,1,Litter_sifting,LINYPHIIDAE,immLiny,sp.,0,0,2
20080519,20080529,Valley,Girdled,1,3,Pitfall,LYCOSIDAE,Pirata,montanus,1,0,0
20080519,20080529,Valley,Girdled,1,5,Pitfall,AMAUROBIIDAE,Amaurobius,borealis,4,0,0
20080519,20080529,Valley,Girdled,1,4,Litter_sifting,SALTICIDAE,immSalt,sp.,0,0,2
20080519,20080529,Valley,Girdled,1,4,Litter_sifting,AMAUROBIIDAE,immAmau,sp.,0,0,12
20080519,20080529,Valley,Girdled,1,4,Litter_sifting,SALTICIDAE,Neon,nelli,2,0,0
20080922,20081002,Valley,Girdled,1,5,Litter_sifting,LYCOSIDAE,immLyco,sp.,0,0,1
20080922,20081002,Valley,Girdled,1,1,Litter_sifting,LINYPHIIDAE,Ceraticelus,minutus,1,2,0
20080519,20080529,Valley,Girdled,1,4,Litter_sifting,LINYPHIIDAE,Ceraticelus,laetabilis,2,0,0
20080519,20080529,Valley,Girdled,1,4,Litter_sifting,LINYPHIIDAE,Walckenaeria,minuta,1,0,0
20080519,20080529,Valley,Girdled,1,5,Pitfall,LINYPHIIDAE,Tapinocyba,minuta,1,0,0
20080519,20080529,Valley,Girdled,1,5,Pitfall,LINYPHIIDAE,Meioneta,simplex,1,2,0
20080519,20080529,Valley,Girdled,1,5,Pitfall,LINYPHIIDAE,Ceratinella,brunnea,1,0,0
20080519,20080529,Valley,Girdled,1,5,Pitfall,LINYPHIIDAE,Tenuiphantes,zebra,0,1,0
20080519,20080529,Valley,Girdled,1,2,Pitfall,AMAUROBIIDAE,immAmau,sp.,0,0,2
20080519,20080529,Valley,Girdled,1,5,Pitfall,LIOCRANIDAE,Agroeca,ornata,2,0,0
20080519,20080529,Valley,Girdled,1,4,Litter_sifting,LINYPHIIDAE,Ceraticelus,minutus,0,1,0
20080519,20080529,Valley,Girdled,1,5,Pitfall,LYCOSIDAE,Pardosa,xerampelina,2,0,0
20080519,20080529,Valley,Girdled,1,4,Litter_sifting,LINYPHIIDAE,immLiny,sp.,0,0,22
20080519,20080529,Valley,Girdled,1,4,Litter_sifting,LIOCRANIDAE,immLioc,sp.,0,0,2
20080718,20080728,Valley,Girdled,1,4,Pitfall,HAHNIIDAE,Neoantistea,magna,1,0,0
20080718,20080728,Valley,Girdled,1,4,Pitfall,CORINNIDAE,Phrurotimpus,alarius,1,0,0
20080718,20080728,Valley,Girdled,1,4,Pitfall,LINYPHIIDAE,Tapinocyba,minuta,1,0,0
20080718,20080728,Valley,Girdled,1,4,Pitfall,UNKNOWN,immUnkn,sp.,0,0,1
20080519,20080529,Valley,Girdled,1,4,Litter_sifting,LINYPHIIDAE,Collinsia,oxypaederotipus,2,0,0
20080519,20080529,Valley,Girdled,1,2,Pitfall,LINYPHIIDAE,Meioneta,simplex,1,0,0
20080519,20080529,Valley,Girdled,1,2,Pitfall,LINYPHIIDAE,Walckenaeria,directa,1,0,0
20080519,20080529,Valley,Girdled,1,4,Litter_sifting,LINYPHIIDAE,Ceratinella,brunnea,0,1,0
20080519,20080529,Valley,Girdled,1,5,Litter_sifting,LINYPHIIDAE,immLiny,sp.,0,0,19
20080519,20080529,Valley,Girdled,1,5,Pitfall,HAHNIIDAE,Neoantistea,magna,0,1,0
20080718,20080728,Valley,Girdled,1,1,Pitfall,LINYPHIIDAE,Collinsia,oxypaederotipus,0,1,0
20080519,20080529,Valley,Girdled,1,3,Litter_sifting,UNKNOWN,immUnkn,sp.,0,0,1
20080922,20081002,Valley,Girdled,1,5,Litter_sifting,UNKNOWN,immUnkn,sp.,0,0,1
20080718,20080728,Valley,Girdled,1,1,Pitfall,LINYPHIIDAE,Meioneta,simplex,1,0,0
20080718,20080728,Valley,Girdled,1,1,Pitfall,HAHNIIDAE,Neoantistea,magna,4,1,0
20080718,20080728,Valley,Girdled,1,2,Pitfall,LINYPHIIDAE,Eperigone,brevidentata,0,1,0
20080922,20081002,Valley,Girdled,1,5,Litter_sifting,CORINNIDAE,immCori,sp.,0,0,1
20080922,20081002,Valley,Girdled,1,5,Litter_sifting,LINYPHIIDAE,immLiny,sp.,0,0,11
20080922,20081002,Valley,Girdled,1,5,Litter_sifting,SALTICIDAE,immSalt,sp.,0,0,3
20080922,20081002,Valley,Girdled,1,5,Litter_sifting,DICTYNIDAE,immDict,sp.,0,0,1
20080922,20081002,Valley,Girdled,1,5,Litter_sifting,AMAUROBIIDAE,immAmau,sp.,0,0,12
20080718,20080728,Valley,Girdled,1,1,Pitfall,DICTYNIDAE,immDict,sp.,0,0,1
20080922,20081002,Valley,Logged,2,3,Litter_sifting,GNAPHOSIDAE,immGnap,sp.,0,0,2
20080519,20080529,Valley,Logged,2,4,Pitfall,GNAPHOSIDAE,Zelotes,fratris,1,0,0
20080519,20080529,Valley,Logged,2,4,Pitfall,LIOCRANIDAE,Agroeca,ornata,1,0,0
20080519,20080529,Valley,Logged,2,4,Pitfall,HAHNIIDAE,Cryphoeca,montana,1,0,0
20080519,20080529,Valley,Logged,2,4,Pitfall,HAHNIIDAE,Neoantistea,magna,0,2,0
20080519,20080529,Valley,Logged,2,4,Pitfall,LINYPHIIDAE,Walckenaeria,directa,1,0,0
20080519,20080529,Valley,Logged,2,4,Pitfall,LINYPHIIDAE,Meioneta,simplex,2,0,0
20080519,20080529,Valley,Logged,2,4,Pitfall,LINYPHIIDAE,Scylaceus,pallidus,1,0,0
20080922,20081002,Valley,Logged,2,3,Litter_sifting,ARANEIDAE,immAran,sp.,0,0,1
20080922,20081002,Valley,Logged,2,3,Litter_sifting,DICTYNIDAE,immDict,sp.,0,0,1
20080922,20081002,Valley,Logged,2,3,Litter_sifting,CORINNIDAE,immCori,sp.,0,0,3
20080519,20080529,Valley,Logged,2,2,Pitfall,LYCOSIDAE,Pardosa,xerampelina,9,0,0
20080922,20081002,Valley,Logged,2,3,Litter_sifting,SALTICIDAE,immSalt,sp.,0,0,1
20080922,20081002,Valley,Logged,2,3,Litter_sifting,LINYPHIIDAE,Ceratinella,brunnea,0,3,0
20080922,20081002,Valley,Logged,2,3,Pitfall,LYCOSIDAE,immLyco,sp.,0,0,1
20080922,20081002,Valley,Logged,2,3,Pitfall,CORINNIDAE,Castianeira,longipalpa,0,1,0
20080922,20081002,Valley,Logged,2,3,Pitfall,HAHNIIDAE,Neoantistea,magna,1,0,0
20080922,20081002,Valley,Logged,2,3,Pitfall,AMAUROBIIDAE,Wadotes,hybridus,1,0,0
20080519,20080529,Valley,Logged,2,4,Pitfall,LINYPHIIDAE,Tapinocyba,simplex,0,1,0
20080718,20080728,Valley,Logged,2,2,Litter_sifting,LINYPHIIDAE,Ceratinops,annulipes,0,1,0
20080922,20081002,Valley,Logged,2,5,Litter_sifting,SALTICIDAE,immSalt,sp.,0,0,8
20080922,20081002,Valley,Logged,2,5,Litter_sifting,LYCOSIDAE,immLyco,sp.,0,0,2
20080922,20081002,Valley,Logged,2,5,Litter_sifting,LYCOSIDAE,Trochosa,terricola,1,1,0
20080922,20081002,Valley,Logged,2,5,Litter_sifting,AMAUROBIIDAE,immAmau,sp.,0,0,4
20080922,20081002,Valley,Logged,2,5,Litter_sifting,HAHNIIDAE,Neoantistea,magna,0,1,0
20080922,20081002,Valley,Logged,2,5,Litter_sifting,LINYPHIIDAE,Scylaceus,pallidus,1,1,0
20080922,20081002,Valley,Logged,2,5,Litter_sifting,LINYPHIIDAE,immLiny,sp.,0,0,23
20080519,20080529,Valley,Logged,2,4,Pitfall,LYCOSIDAE,Pardosa,xerampelina,1,1,0
20080922,20081002,Valley,Logged,2,5,Litter_sifting,LINYPHIIDAE,Ceratinella,brunnea,3,4,0
20080519,20080529,Valley,Logged,2,1,Pitfall,HAHNIDAE,immHahn,sp.,0,0,1
20080718,20080728,Valley,Logged,2,2,Litter_sifting,LYCOSIDAE,immLyco,sp.,0,0,2
20080718,20080728,Valley,Logged,2,2,Litter_sifting,HAHNIDAE,immHahn,sp.,0,0,1
20080718,20080728,Valley,Logged,2,2,Litter_sifting,LINYPHIIDAE,immLiny,sp.,0,0,1
20080519,20080529,Valley,Logged,2,1,Pitfall,LINYPHIIDAE,Collinsia,oxypaederotipus,1,0,0
20080922,20081002,Valley,Logged,2,5,Litter_sifting,LIOCRANIDAE,immLioc,sp.,0,0,2
20080519,20080529,Valley,Logged,2,2,Litter_sifting,DICTYNIDAE,Emblyna,sublata,0,1,0
20080519,20080529,Valley,Logged,2,1,Pitfall,AMAUROBIIDAE,immAmau,sp.,0,0,1
20080922,20081002,Valley,Logged,2,5,Litter_sifting,CORINNIDAE,immCori,sp.,0,0,9
20080922,20081002,Valley,Logged,2,5,Litter_sifting,LINYPHIIDAE,Ceraticelus,minutus,0,1,0
20080519,20080529,Valley,Logged,2,1,Litter_sifting,GNAPHOSIDAE,Zelotes,hentzi,1,0,0
20080922,20081002,Valley,Logged,2,1,Pitfall,LYCOSIDAE,immLyco,sp.,0,0,1
20080519,20080529,Valley,Logged,2,3,Pitfall,AMAUROBIIDAE,Amaurobius,borealis,6,0,0
20080922,20081002,Valley,Logged,2,5,Litter_sifting,AGELENIDAE,immAgel,sp.,0,0,1
20080519,20080529,Valley,Logged,2,3,Pitfall,LYCOSIDAE,Pirata,montanus,1,0,0
20080519,20080529,Valley,Logged,2,3,Pitfall,LIOCRANIDAE,Agroeca,ornata,1,0,0
20080519,20080529,Valley,Logged,2,3,Pitfall,HAHNIIDAE,Neoantistea,magna,0,2,0
20080922,20081002,Valley,Logged,2,4,Pitfall,CORINNIDAE,Castianeira,longipalpa,2,0,0
20080718,20080728,Valley,Logged,2,3,Pitfall,LINYPHIIDAE,Ceratinella,brunnea,0,1,0
20080519,20080529,Valley,Logged,2,3,Pitfall,GNAPHOSIDAE,Zelotes,duplex,2,0,0
20080519,20080529,Valley,Logged,2,1,Litter_sifting,SALTICIDAE,immSalt,sp.,0,0,1
20080718,20080728,Valley,Logged,2,3,Litter_sifting,LINYPHIIDAE,Ceraticelus,minutus,1,0,0
20080922,20081002,Valley,Logged,2,4,Pitfall,LINYPHIIDAE,Tenuiphantes,zebra,1,1,0
20080922,20081002,Valley,Logged,2,4,Pitfall,LYCOSIDAE,Trochosa,terricola,1,0,0
20080922,20081002,Valley,Logged,2,4,Pitfall,LINYPHIIDAE,Ceratinella,brunnea,1,1,0
20080922,20081002,Valley,Logged,2,4,Pitfall,DICTYNIDAE,Cicurina,arcuata,0,1,0
